,theta,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,sample,ratio
0,30,325274.75018680457,3334271.5248930263,247,89,168.0,113.0,-5.670831706878497,10,1.4867256637168142
1,30,324972.75643210794,3334291.1347750225,233,148,190.5,80.0,5.176799016433826,10,2.38125
2,30,325373.49731027876,3334301.1142287743,249,191,220.0,103.0,-4.894608302781638,10,2.1359223300970873
3,30,325091.1571823051,3334265.7725144387,242,107,174.5,80.0,4.885125389016482,10,2.18125
4,30,324769.4228145983,3334382.4301933832,231,170,200.5,54.0,5.250637919253019,10,3.712962962962963
5,30,324795.9616402568,3334368.005961098,256,205,230.5,76.0,4.968555731965616,10,3.0328947368421053
6,30,324755.6523608726,3334636.052501133,300,279,289.5,130.0,4.425472329673715,10,2.226923076923077
7,30,325429.97395905165,3334814.328895418,150,94,122.0,62.0,5.7172192181450425,10,1.967741935483871
8,30,325314.79811802495,3334280.458346738,247,141,194.0,104.0,-5.18548485590306,10,1.8653846153846154
9,30,325575.21856535715,3334503.5763476514,273,283,278.0,84.0,-5.529132028186555,10,3.3095238095238093
0,31,325212.1726602481,3334762.732931249,281,165,223.0,40.0,-5.307031987521362,10,5.575
1,31,325582.9753913861,3334522.140458451,280,264,272.0,88.0,-4.0653214260067205,10,3.090909090909091
2,31,325566.28513873473,3334485.535168896,320,207,263.5,74.0,-3.755513844689657,10,3.560810810810811
3,31,325595.6999261533,3334702.11641578,245,191,218.0,142.0,-4.8640666722334185,10,1.5352112676056338
4,31,325604.76419713954,3334603.369330842,276,256,266.0,135.0,-4.962849176872992,10,1.9703703703703703
5,31,324890.30736981856,3334322.380026023,260,187,223.5,80.0,4.559625879157411,10,2.79375
6,31,324767.2874972273,3334383.519626885,243,167,205.0,61.0,4.477993962713001,10,3.360655737704918
7,31,324842.8514262377,3334633.002046105,272,457,364.5,169.0,-4.571698943720127,10,2.1568047337278107
8,31,325586.9407854745,3334720.244731535,256,191,223.5,142.0,-4.5967344183623915,10,1.573943661971831
9,31,325304.0344526448,3334797.9000887126,216,144,180.0,24.0,-5.111993497865319,10,7.5
0,32,325145.0630227679,3334725.430379566,370,218,294.0,82.0,-5.018165703253919,10,3.5853658536585367
1,32,325566.28513873473,3334485.535168896,367,312,339.5,68.0,-3.8112297053794166,10,4.992647058823529
2,32,324944.0822852097,3334301.2012393097,235,206,220.5,76.0,4.870988878223151,10,2.901315789473684
3,32,324762.14544802206,3334634.3529915926,263,255,259.0,80.0,4.673433432512544,10,3.2375
4,32,324965.5227812114,3334655.139456636,215,231,223.0,94.0,-4.373249408723304,10,2.372340425531915
5,32,325605.63569550385,3334663.245110521,281,210,245.5,186.0,-4.417047264097714,10,1.3198924731182795
6,32,325475.0768420623,3334808.6202489566,283,103,193.0,74.0,-4.627803388597994,10,2.608108108108108
7,32,324842.8514262377,3334633.002046105,266,462,364.0,113.0,-4.81105514601448,10,3.2212389380530975
8,32,325234.1794022497,3334773.4094576472,274,167,220.5,78.0,-4.933475634083129,10,2.826923076923077
9,32,325586.9407854745,3334720.244731535,264,191,227.5,109.0,-4.561156602193106,10,2.0871559633027523
0,33,325328.9608960046,3334804.0009597824,187,89,138.0,22.0,-5.18083714429105,10,6.2727272727272725
1,33,325334.1466277638,3334286.5156633942,194,200,197.0,90.0,-4.935500551118377,10,2.188888888888889
2,33,325353.7130294207,3334808.4458767343,187,59,123.0,4.0,5.309181706145234,10,30.75
3,33,325601.14726127806,3334583.715779584,310,229,269.5,158.0,-5.156814854251927,10,1.7056962025316456
4,33,325549.85612694186,3334769.138890449,238,149,193.5,83.0,-4.823891638440483,10,2.3313253012048194
5,33,325582.9753913861,3334522.140458451,247,155,201.0,53.0,-3.9478235511363597,10,3.792452830188679
6,33,324755.6523608726,3334636.052501133,306,273,289.5,108.0,4.161633152768935,10,2.6805555555555554
7,33,325073.5955646208,3334690.873203087,214,249,231.5,140.0,-4.4088129779273695,10,1.6535714285714285
8,33,325212.1726602481,3334762.732931249,291,166,228.5,32.0,4.74172702565134,10,7.140625
9,33,324762.14544802206,3334634.3529915926,271,255,263.0,84.0,4.660223910120181,10,3.130952380952381
0,34,325234.1794022497,3334773.4094576472,282,168,225.0,93.0,-5.622334817400708,10,2.4193548387096775
1,34,325492.2901988519,3334391.1458100327,258,193,225.5,92.0,-4.03566149540515,10,2.4510869565217392
2,34,325495.81980936916,3334801.9528679466,226,159,192.5,99.0,-4.836277453980797,10,1.9444444444444444
3,34,325274.75018680457,3334271.5248930263,302,152,227.0,81.0,-4.622498398634919,10,2.802469135802469
4,34,325225.7252487832,3334265.162530032,304,94,199.0,81.0,-4.959097361529354,10,2.45679012345679
5,34,325585.9820755528,3334721.900685195,265,191,228.0,121.0,-4.76334175317237,10,1.884297520661157
6,34,324794.3492663547,3334369.269715854,278,207,242.5,94.0,4.855717644914267,10,2.5797872340425534
7,34,324758.0055631192,3334635.180958705,297,283,290.0,87.0,4.602771748461159,10,3.3333333333333335
8,34,324769.4228145983,3334382.4301933832,190,163,176.5,78.0,5.466519260166112,10,2.2628205128205128
9,34,325256.0989837226,3334782.473608765,265,230,247.5,42.0,4.973632394322028,10,5.892857142857143
0,35,325304.0344526448,3334797.9000887126,203,147,175.0,48.0,-5.082470422791283,10,3.6458333333333335
1,35,324769.4228145983,3334382.4301933832,194,161,177.5,56.0,4.406001407217559,10,3.169642857142857
2,35,324771.12235031475,3334381.558643738,187,161,174.0,41.0,4.689183589120427,10,4.2439024390243905
3,35,325225.7252487832,3334265.162530032,265,96,180.5,72.0,-4.648412158211064,10,2.5069444444444446
4,35,324758.7463852133,3334634.9630728867,300,272,286.0,157.0,5.074429440683343,10,1.821656050955414
5,35,324799.57872398733,3334631.5204289216,276,42,159.0,129.0,5.003525564873835,10,1.2325581395348837
6,35,324758.0055631192,3334635.180958705,311,271,291.0,116.0,4.554414044054898,10,2.5086206896551726
7,35,324890.30736981856,3334322.380026023,261,189,225.0,60.0,5.01971501001399,10,3.75
8,35,325532.4252683432,3334434.9850001712,161,169,165.0,123.0,-4.875546502471953,10,1.3414634146341464
9,35,325544.40912791877,3334451.0216091503,198,193,195.5,78.0,-3.9060228102607795,10,2.5064102564102564
0,36,325549.85612694186,3334769.138890449,232,146,189.0,119.0,-5.335921917636463,10,1.588235294117647
1,36,325031.6299687894,3334275.6646668594,247,81,164.0,101.0,5.166765855951977,10,1.6237623762376239
2,36,325582.9753913861,3334522.140458451,232,278,255.0,67.0,-5.041745375505611,10,3.8059701492537314
3,36,324819.144974238,3334356.239959348,249,146,197.5,75.0,5.3019318134142885,10,2.6333333333333333
4,36,324771.12235031475,3334381.558643738,201,159,180.0,62.0,5.445609272778263,10,2.903225806451613
5,36,325200.40658687404,3334263.245094664,223,120,171.5,89.0,-5.518608628115373,10,1.9269662921348314
6,36,325519.3519593715,3334419.819949044,227,194,210.5,88.0,-3.994074365854305,10,2.3920454545454546
7,36,324944.0822852097,3334301.2012393097,244,221,232.5,77.0,4.908193348917422,10,3.0194805194805197
8,36,325495.81980936916,3334801.9528679466,191,163,177.0,130.0,-5.5228153511750815,10,1.3615384615384616
9,36,324939.4197132455,3334648.77712569,231,237,234.0,128.0,-4.944103161251817,10,1.828125
0,37,325227.99128893187,3334265.336842259,274,97,185.5,107.0,-4.6667617856692845,10,1.733644859813084
1,37,325353.7130294207,3334808.4458767343,197,61,129.0,41.0,5.281603800487469,10,3.1463414634146343
2,37,324794.3492663547,3334369.269715854,302,203,252.5,82.0,4.81108716998985,10,3.0792682926829267
3,37,325429.97395905165,3334814.328895418,181,96,138.5,37.0,4.980997898694294,10,3.7432432432432434
4,37,324820.8882408438,3334631.781884967,259,47,153.0,119.0,-4.778846728542748,10,1.2857142857142858
5,37,325353.8437595151,3334292.7908707233,253,227,240.0,110.0,-4.457691897421232,10,2.1818181818181817
6,37,325190.2530847443,3334751.054101477,308,221,264.5,59.0,-5.01362332053585,10,4.483050847457627
7,37,325274.75018680457,3334271.5248930263,246,156,201.0,100.0,-4.529509975811643,10,2.01
8,37,325505.9300246491,3334405.0035237246,220,192,206.0,122.0,-5.227023162007225,10,1.6885245901639345
9,37,324939.4197132455,3334648.77712569,225,230,227.5,83.0,-4.714817971658881,10,2.7409638554216866
0,38,324916.80262286327,3334310.962651804,268,194,231.0,104.0,4.773555745543883,10,2.2211538461538463
1,38,325555.82648712705,3334467.5811462076,215,221,218.0,74.0,-5.506584810977165,10,2.945945945945946
2,38,325001.6048962723,3334283.1600423967,255,130,192.5,67.0,5.006761737419689,10,2.873134328358209
3,38,324767.2874972273,3334383.519626885,206,160,183.0,64.0,4.636546869119376,10,2.859375
4,38,324842.8514262377,3334633.002046105,273,459,366.0,105.0,-4.770786593368598,10,3.4857142857142858
5,38,325274.75018680457,3334271.5248930263,221,158,189.5,93.0,-4.691731293972491,10,2.0376344086021505
6,38,325492.2901988519,3334391.1458100327,213,163,188.0,67.0,-4.0235560154392855,10,2.8059701492537314
7,38,324944.0822852097,3334301.2012393097,264,221,242.5,82.0,5.026269032707616,10,2.957317073170732
8,38,325091.1571823051,3334265.7725144387,258,117,187.5,93.0,5.364750705102827,10,2.0161290322580645
9,38,325047.4489234125,3334680.5452777944,227,256,241.5,156.0,-5.463830073041953,10,1.5480769230769231
0,39,325590.99368230783,3334542.4040995906,226,129,177.5,96.0,-4.174149845455166,10,1.8489583333333333
1,39,325607.2916661544,3334644.2016512095,322,165,243.5,164.0,-4.923108049976937,10,1.4847560975609757
2,39,324758.0055631192,3334635.180958705,341,19,180.0,186.0,4.524553643548935,10,0.967741935483871
3,39,324867.6907412172,3334635.747429799,271,484,377.5,105.0,-4.95058352261771,10,3.5952380952380953
4,39,324795.9616402568,3334368.005961098,294,285,289.5,88.0,4.836254056014093,10,3.289772727272727
5,39,325582.9753913861,3334522.140458451,243,298,270.5,60.0,-3.5925128714836045,10,4.508333333333334
6,39,325145.0630227679,3334725.430379566,361,218,289.5,108.0,-4.841646513375457,10,2.6805555555555554
7,39,324972.75643210794,3334291.1347750225,277,176,226.5,89.0,5.06639741581572,10,2.544943820224719
8,39,325429.97395905165,3334814.328895418,171,92,131.5,46.0,5.1797068789530245,10,2.858695652173913
9,39,325061.13210873504,3334270.56606383,275,105,190.0,101.0,5.0533963161763955,10,1.881188118811881
0,40,325373.49731027876,3334301.1142287743,223,222,222.5,78.0,-4.5636003654545085,10,2.8525641025641026
1,40,325533.3401803465,3334781.994301963,259,171,215.0,102.0,-4.948664649348306,10,2.107843137254902
2,40,325434.2446604172,3334339.5933695007,291,165,228.0,136.0,-4.931867490576047,10,1.6764705882352942
3,40,325564.4546612122,3334753.320192458,278,165,221.5,133.0,-5.032048198850675,10,1.6654135338345866
4,40,325595.6999261533,3334702.11641578,289,194,241.5,150.0,-4.887495208661065,10,1.61
5,40,325405.0475809671,3334318.3710212666,259,247,253.0,153.0,-4.561972431251781,10,1.65359477124183
6,40,324890.30736981856,3334322.380026023,259,207,233.0,81.0,5.325223662777936,10,2.876543209876543
7,40,325380.1211093549,3334812.367872716,172,101,136.5,23.0,5.10305994842431,10,5.934782608695652
8,40,325582.9753913861,3334522.140458451,248,306,277.0,47.0,-3.528601493309207,10,5.8936170212765955
9,40,325601.14726127806,3334583.715779584,272,140,206.0,69.0,-3.55480277435283,10,2.9855072463768115
0,41,324758.7463852133,3334634.9630728867,336,93,214.5,167.0,4.876737013371086,10,1.284431137724551
1,41,324762.14544802206,3334634.3529915926,313,284,298.5,123.0,4.320942084064756,10,2.426829268292683
2,41,325047.4489234125,3334680.5452777944,454,261,357.5,110.0,-4.594648027094837,10,3.25
3,41,324842.80766588124,3334344.6918443376,277,251,264.0,66.0,4.587563261315293,10,4.0
4,41,325304.0344526448,3334797.9000887126,216,155,185.5,25.0,5.5011488007193705,10,7.42
5,41,324867.6907412172,3334635.747429799,264,99,181.5,140.0,-4.873786008436611,10,1.2964285714285715
6,41,325334.1466277638,3334286.5156633942,274,240,257.0,81.0,-4.40443504895682,10,3.1728395061728394
7,41,324799.57872398733,3334631.5204289216,268,278,273.0,111.0,4.8605036127710965,10,2.4594594594594597
8,41,325605.63569550385,3334663.245110521,222,161,191.5,97.0,-3.6480529825279193,10,1.9742268041237114
9,41,325373.49731027876,3334301.1142287743,239,222,230.5,84.0,-4.606260798744347,10,2.744047619047619
0,42,325533.3401803465,3334781.994301963,242,169,205.5,116.0,-5.32103769849938,10,1.771551724137931
1,42,325505.9300246491,3334405.0035237246,235,191,213.0,86.0,-3.6519650293670325,10,2.4767441860465116
2,42,324842.80766588124,3334344.6918443376,281,254,267.5,80.0,4.991607565753992,10,3.34375
3,42,325146.893285126,3334726.82486727,353,220,286.5,82.0,-4.499455838125527,10,3.4939024390243905
4,42,324769.4228145983,3334382.4301933832,202,150,176.0,54.0,5.352854753879389,10,3.259259259259259
5,42,325492.2901988519,3334391.1458100327,246,191,218.5,106.0,-3.54567856923075,10,2.061320754716981
6,42,325472.5929096375,3334808.7509809975,233,114,173.5,95.0,-4.8467330042975325,10,1.8263157894736841
7,42,325585.9820755528,3334721.900685195,277,192,234.5,143.0,-4.962209088029751,10,1.6398601398601398
8,42,325595.6999261533,3334702.11641578,294,195,244.5,140.0,-4.9694753495322495,10,1.7464285714285714
9,42,325190.2530847443,3334751.054101477,311,225,268.0,19.0,4.740238900663269,10,14.105263157894736
0,43,325145.0630227679,3334725.430379566,372,221,296.5,76.0,-4.996126021863011,10,3.901315789473684
1,43,325169.2922177315,3334739.070221893,345,226,285.5,50.0,-4.768500221394287,10,5.71
2,43,325304.0344526448,3334797.9000887126,220,158,189.0,17.0,5.264337484035539,10,11.117647058823529
3,43,325492.2901988519,3334391.1458100327,228,191,209.5,154.0,-5.38838214638993,10,1.3603896103896105
4,43,325519.3519593715,3334419.819949044,241,208,224.5,84.0,-3.946092179835467,10,2.6726190476190474
5,43,324771.12235031475,3334381.558643738,195,149,172.0,60.0,4.478587388944629,10,2.8666666666666667
6,43,325212.1726602481,3334762.732931249,299,231,265.0,89.0,-5.483315344135438,10,2.9775280898876404
7,43,325091.1571823051,3334265.7725144387,284,128,206.0,93.0,5.0451036634282636,10,2.21505376344086
8,43,325544.40912791877,3334451.0216091503,226,227,226.5,80.0,-3.7778296310477213,10,2.83125
9,43,325372.2335577047,3334300.286251815,234,224,229.0,66.0,-4.395951704985509,10,3.4696969696969697
0,44,324769.4228145983,3334382.4301933832,212,148,180.0,62.0,4.827691745135273,10,2.903225806451613
1,44,325145.0630227679,3334725.430379566,368,221,294.5,24.0,-5.003269844427391,10,12.270833333333334
2,44,325353.7130294207,3334808.4458767343,214,65,139.5,26.0,-5.21140060749326,10,5.365384615384615
3,44,325595.6999261533,3334702.11641578,306,196,251.0,193.0,-5.346203984471865,10,1.3005181347150259
4,44,325602.14945265907,3334682.157832637,218,163,190.5,147.0,-3.755711706522915,10,1.2959183673469388
5,44,324842.80766588124,3334344.6918443376,225,261,243.0,88.0,5.702175164650721,10,2.7613636363636362
6,44,325601.14726127806,3334583.715779584,252,105,178.5,84.0,-3.3025778484094337,10,2.125
7,44,324939.4197132455,3334648.77712569,272,221,246.5,174.0,-4.641392690540061,10,1.4166666666666667
8,44,325001.6048962723,3334283.1600423967,272,135,203.5,123.0,5.220478605931564,10,1.6544715447154472
9,44,325061.13210873504,3334270.56606383,216,125,170.5,112.0,5.808464578202055,10,1.5223214285714286
0,45,325607.2916661544,3334644.2016512095,232,155,193.5,189.0,-5.38411856247561,10,1.0238095238095237
1,45,325251.9154595832,3334268.300133895,251,206,228.5,115.0,-4.345852459215685,10,1.9869565217391305
2,45,325353.8437595151,3334292.7908707233,261,268,264.5,107.0,-5.360576970044854,10,2.47196261682243
3,45,325515.2118668242,3334792.932292843,238,173,205.5,118.0,-5.309741530535486,10,1.7415254237288136
4,45,325001.6048962723,3334283.1600423967,317,137,227.0,96.0,5.175240187003721,10,2.3645833333333335
5,45,325405.0475809671,3334318.3710212666,288,196,242.0,131.0,-4.148400115411904,10,1.8473282442748091
6,45,324762.14544802206,3334634.3529915926,325,20,172.5,182.0,4.710542079437747,10,0.9478021978021978
7,45,324820.8882408438,3334631.781884967,290,17,153.5,196.0,-4.834650523154031,10,0.7831632653061225
8,45,325586.9407854745,3334720.244731535,271,194,232.5,175.0,-5.288592716243867,10,1.3285714285714285
9,45,325212.1726602481,3334762.732931249,286,234,260.0,59.0,-5.075047404816932,10,4.406779661016949
0,46,325001.6048962723,3334283.1600423967,288,139,213.5,100.0,5.027451711353591,10,2.135
1,46,325586.9407854745,3334720.244731535,297,195,246.0,131.0,-5.313622655175028,10,1.8778625954198473
2,46,325251.9154595832,3334268.300133895,278,208,243.0,122.0,-4.283648864683342,10,1.9918032786885247
3,46,324780.66598608927,3334632.130526611,340,346,343.0,178.0,4.680506139675588,10,1.9269662921348314
4,46,325605.63569550385,3334663.245110521,225,47,136.0,151.0,-3.613948053751604,10,0.9006622516556292
5,46,325585.9820755528,3334721.900685195,294,194,244.0,184.0,-5.121873001358392,10,1.326086956521739
6,46,325190.2530847443,3334751.054101477,317,230,273.5,27.0,-5.117082288570695,10,10.12962962962963
7,46,325597.00739328365,3334563.4957171623,270,106,188.0,79.0,-3.3883536057003902,10,2.3797468354430378
8,46,324965.5227812114,3334655.139456636,294,75,184.5,146.0,-4.623588523476748,10,1.2636986301369864
9,46,325020.69219326344,3334671.1760599785,255,12,133.5,155.0,-4.692881270347146,10,0.8612903225806452
0,47,325373.49731027876,3334301.1142287743,279,284,281.5,92.0,-4.334438574707269,10,3.0597826086956523
1,47,325605.63569550385,3334663.245110521,221,145,183.0,123.0,-3.120694157148221,10,1.4878048780487805
2,47,325098.2605556727,3334702.0291144773,399,329,364.0,24.0,4.885788621321703,10,15.166666666666666
3,47,325389.7953789454,3334309.2196927713,240,230,235.0,133.0,-5.253862318198589,10,1.7669172932330828
4,47,325212.1726602481,3334762.732931249,299,238,268.5,58.0,-5.294895179410623,10,4.629310344827586
5,47,325477.77881758765,3334377.3316725413,273,221,247.0,116.0,-4.6992495653795565,10,2.1293103448275863
6,47,324916.80262286327,3334310.962651804,248,207,227.5,88.0,4.858353313676783,10,2.585227272727273
7,47,325353.8437595151,3334292.7908707233,266,257,261.5,171.0,-5.9472561539940525,10,1.5292397660818713
8,47,324939.4197132455,3334648.77712569,285,229,257.0,128.0,-4.511953441878107,10,2.0078125
9,47,325434.2446604172,3334339.5933695007,254,168,211.0,145.0,-4.583718200353407,10,1.4551724137931035
0,48,324867.6907412172,3334635.747429799,310,61,185.5,125.0,-4.23548437512202,10,1.484
1,48,325544.40912791877,3334451.0216091503,218,110,164.0,145.0,-5.479452452173569,10,1.1310344827586207
2,48,325020.69219326344,3334671.1760599785,269,284,276.5,241.0,-4.690093176150861,10,1.1473029045643153
3,48,324760.4459170554,3334634.6144557307,328,142,235.0,158.0,4.750122729736817,10,1.4873417721518987
4,48,325274.75018680457,3334271.5248930263,271,214,242.5,100.0,-4.150438204252176,10,2.425
5,48,324892.09427860554,3334639.3207929987,279,70,174.5,218.0,-5.075130928383202,10,0.8004587155963303
6,48,325389.7953789454,3334309.2196927713,265,231,248.0,113.0,-5.209683939750574,10,2.1946902654867255
7,48,325505.9300246491,3334405.0035237246,273,164,218.5,107.0,-3.9731759388454946,10,2.042056074766355
8,48,325353.8437595151,3334292.7908707233,290,252,271.0,92.0,-3.5272068619460994,10,2.9456521739130435
9,48,325472.5929096375,3334808.7509809975,194,127,160.5,64.0,-4.766565264580292,10,2.5078125
0,49,325145.5857899671,3334262.2863295972,300,164,232.0,83.0,-4.786256949468703,10,2.7951807228915664
1,49,325304.0344526448,3334797.9000887126,258,203,230.5,24.0,-5.142312219286259,10,9.604166666666666
2,49,325463.2238569299,3334364.4326664796,258,166,212.0,128.0,-5.378615851599631,10,1.65625
3,49,325251.9154595832,3334268.300133895,288,218,253.0,101.0,-4.178186557533744,10,2.504950495049505
4,49,325173.0397645167,3334262.199204347,246,159,202.5,101.0,-5.342396341885967,10,2.004950495049505
5,49,325020.69219326344,3334671.1760599785,382,287,334.5,71.0,-5.009684612327221,10,4.711267605633803
6,49,324842.8514262377,3334633.002046105,300,35,167.5,117.0,-5.164276031444111,10,1.4316239316239316
7,49,324992.4973962247,3334662.5912465556,483,298,390.5,100.0,-5.108392357576448,10,3.905
8,49,325227.99128893187,3334265.336842259,298,153,225.5,107.0,-4.273560151375997,10,2.107476635514019
9,49,325405.5268915321,3334814.285299212,226,111,168.5,40.0,-4.9631607791677,10,4.2125
0,50,325492.2901988519,3334391.1458100327,259,29,144.0,193.0,-5.408009769176031,10,0.7461139896373057
1,50,324795.9616402568,3334368.005961098,279,192,235.5,94.0,5.2546284208555765,10,2.50531914893617
2,50,325173.0397645167,3334262.199204347,275,161,218.0,93.0,-4.680344369295872,10,2.3440860215053765
3,50,325314.79811802495,3334280.458346738,277,286,281.5,114.0,-3.798816058994132,10,2.469298245614035
4,50,325505.9300246491,3334405.0035237246,279,164,221.5,202.0,-5.1361967331351,10,1.0965346534653466
5,50,325519.3519593715,3334419.819949044,261,136,198.5,146.0,-4.700245624630163,10,1.3595890410958904
6,50,325372.2335577047,3334300.286251815,299,264,281.5,202.0,-5.27137415990105,10,1.3935643564356435
7,50,325429.97395905165,3334814.328895418,204,113,158.5,50.0,5.027282743883728,10,3.17
8,50,324842.80766588124,3334344.6918443376,283,178,230.5,128.0,5.808111340390843,10,1.80078125
9,50,325227.99128893187,3334265.336842259,301,155,228.0,143.0,-4.233700737168239,10,1.5944055944055944
0,51,325251.9154595832,3334268.300133895,276,224,250.0,95.0,-3.7593671326649405,10,2.6315789473684212
1,51,325604.76419713954,3334603.369330842,466,11,238.5,21.0,-5.314378890615515,10,11.357142857142858
2,51,325328.9608960046,3334804.0009597824,233,108,170.5,29.0,-4.952299290148352,10,5.879310344827586
3,51,324820.8882408438,3334631.781884967,300,18,159.0,149.0,-4.581304155224207,10,1.0671140939597314
4,51,325227.99128893187,3334265.336842259,314,158,236.0,173.0,-4.156736048930088,10,1.3641618497109826
5,51,325353.7130294207,3334808.4458767343,235,73,154.0,43.0,5.2380843380326,10,3.5813953488372094
6,51,325472.5929096375,3334808.7509809975,231,136,183.5,60.0,-4.862837779060008,10,3.058333333333333
7,51,324844.2459127419,3334633.0892008585,324,22,173.0,103.0,-4.333529724508001,10,1.6796116504854368
8,51,325597.00739328365,3334563.4957171623,248,84,166.0,30.0,-2.446123434362904,10,5.533333333333333
9,51,325020.69219326344,3334671.1760599785,470,293,381.5,63.0,-4.964736965058082,10,6.055555555555555
0,52,325585.9820755528,3334721.900685195,264,200,232.0,178.0,-4.708977083049044,10,1.303370786516854
1,52,325353.7130294207,3334808.4458767343,216,73,144.5,24.0,-5.065303876162742,10,6.020833333333333
2,52,325607.2916833168,3334624.1559026456,232,70,151.0,82.0,-2.0257257175217447,10,1.8414634146341464
3,52,325258.40860419115,3334783.1708516353,300,203,251.5,64.0,5.3766580937310895,10,3.9296875
4,52,324760.4459170554,3334634.6144557307,336,158,247.0,147.0,5.15296160447316,10,1.6802721088435375
5,52,325602.14945265907,3334682.157832637,506,87,296.5,74.0,-5.1291322603214295,10,4.006756756756757
6,52,325555.82648712705,3334467.5811462076,260,381,320.5,66.0,-1.721712695774463,10,4.856060606060606
7,52,324944.0822852097,3334301.2012393097,320,205,262.5,102.0,5.191863962680031,10,2.573529411764706
8,52,324765.84942480735,3334384.173284113,204,144,174.0,34.0,-5.032645774668865,10,5.117647058823529
9,52,325505.9300246491,3334405.0035237246,292,165,228.5,94.0,-2.49630983360863,10,2.4308510638297873
0,53,324972.75643210794,3334291.1347750225,331,209,270.0,107.0,5.168722783590147,10,2.5233644859813085
1,53,324767.2874972273,3334383.519626885,206,146,176.0,69.0,5.811712413862227,10,2.550724637681159
2,53,325173.0397645167,3334262.199204347,331,171,251.0,147.0,-5.4707826656571585,10,1.7074829931972788
3,53,325555.82648712705,3334467.5811462076,269,381,325.0,65.0,-1.6223023223723745,10,5.0
4,53,325434.2446604172,3334339.5933695007,351,202,276.5,75.0,-3.8218556051613,10,3.6866666666666665
5,53,325146.893285126,3334726.82486727,361,258,309.5,26.0,5.429741497101817,10,11.903846153846153
6,53,325145.5857899671,3334262.2863295972,283,179,231.0,143.0,-4.813358330871662,10,1.6153846153846154
7,53,324799.57872398733,3334631.5204289216,315,138,226.5,139.0,4.475838947811132,10,1.629496402877698
