,theta,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,sample,ratio
0,10,325353.7130294207,3334808.4458767343,173,54,113.5,52.0,5.438258384716799,10,2.1826923076923075
1,10,325519.3519593715,3334419.819949044,317,136,226.5,137.0,-4.8227913713351205,10,1.6532846715328466
2,10,324892.09427860554,3334639.3207929987,225,164,194.5,131.0,-5.336963471101725,10,1.484732824427481
3,10,325258.40860419115,3334783.1708516353,250,165,207.5,31.0,-4.869554069591425,10,6.693548387096774
4,10,324842.80766588124,3334344.6918443376,252,174,213.0,49.0,4.527929151316134,10,4.346938775510204
5,10,325434.2446604172,3334339.5933695007,219,154,186.5,98.0,-4.782224251404003,10,1.903061224489796
6,10,325145.5857899671,3334262.2863295972,184,83,133.5,49.0,-4.920794027360846,10,2.7244897959183674
7,10,324762.14544802206,3334634.3529915926,256,426,341.0,120.0,4.831160139166861,10,2.841666666666667
8,10,324765.84942480735,3334384.173284113,217,127,172.0,44.0,4.412792486777477,10,3.909090909090909
9,10,325169.2922177315,3334739.070221893,337,184,260.5,229.0,-4.484188188164449,10,1.1375545851528384
0,11,325434.2446604172,3334339.5933695007,240,155,197.5,135.0,-4.876024228128838,10,1.462962962962963
1,11,325251.9154595832,3334268.300133895,230,83,156.5,86.0,-4.724142060698112,10,1.819767441860465
2,11,324794.3492663547,3334369.269715854,236,121,178.5,61.0,4.685382692700713,10,2.9262295081967213
3,11,325353.7130294207,3334808.4458767343,159,54,106.5,15.0,5.000858722826859,10,7.1
4,11,325607.2916833168,3334624.1559026456,264,221,242.5,110.0,-4.639427058788639,10,2.2045454545454546
5,11,324820.8882408438,3334631.781884967,279,110,194.5,115.0,-4.648452273671815,10,1.691304347826087
6,11,325256.0989837226,3334782.473608765,248,164,206.0,31.0,-4.611670672122592,10,6.645161290322581
7,11,325604.76419713954,3334603.369330842,266,235,250.5,113.0,-5.114285455299407,10,2.2168141592920354
8,11,325190.2530847443,3334751.054101477,411,199,305.0,107.0,-5.130703262354772,10,2.850467289719626
9,11,325532.4252683432,3334434.9850001712,286,154,220.0,142.0,-4.800783628432403,10,1.5492957746478873
0,12,324769.4228145983,3334382.4301933832,221,134,177.5,55.0,4.937261958911759,10,3.227272727272727
1,12,325429.97395905165,3334814.328895418,191,113,152.0,48.0,5.683946968386414,10,3.1666666666666665
2,12,324765.84942480735,3334384.173284113,216,130,173.0,50.0,4.895242946387568,10,3.46
3,12,325353.8437595151,3334292.7908707233,244,110,177.0,97.0,-4.681601210223624,10,1.824742268041237
4,12,324758.7463852133,3334634.9630728867,277,42,159.5,115.0,4.7221881892585555,10,1.3869565217391304
5,12,325519.3519593715,3334419.819949044,286,132,209.0,152.0,-4.9193547990705095,10,1.375
6,12,325463.2238569299,3334364.4326664796,292,153,222.5,64.0,-4.5169455458990235,10,3.4765625
7,12,325533.3401803465,3334781.994301963,299,154,226.5,87.0,-4.7093833811884,10,2.603448275862069
8,12,325190.2530847443,3334751.054101477,402,197,299.5,62.0,-4.641162106914364,10,4.830645161290323
9,12,324992.4973962247,3334662.5912465556,203,246,224.5,101.0,-4.7899974990348175,10,2.222772277227723
0,13,325492.2901988519,3334391.1458100327,279,123,201.0,118.0,-4.635247101972382,10,1.7033898305084745
1,13,324765.84942480735,3334384.173284113,221,131,176.0,52.0,4.676462921721505,10,3.3846153846153846
2,13,324762.14544802206,3334634.3529915926,242,434,338.0,107.0,4.977922949809347,10,3.1588785046728973
3,13,324769.4228145983,3334382.4301933832,219,136,177.5,39.0,4.659657922321178,10,4.551282051282051
4,13,325380.1211093549,3334812.367872716,184,55,119.5,26.0,4.929267087533644,10,4.596153846153846
5,13,325373.49731027876,3334301.1142287743,201,143,172.0,96.0,-5.124825363532514,10,1.7916666666666667
6,13,325586.9407854745,3334720.244731535,304,176,240.0,124.0,-5.115526992285052,10,1.935483870967742
7,13,325405.0475809671,3334318.3710212666,191,148,169.5,80.0,-4.530329013883339,10,2.11875
8,13,325145.0630227679,3334725.430379566,266,205,235.5,109.0,-4.98302450242476,10,2.1605504587155964
9,13,325582.9753913861,3334522.140458451,306,172,239.0,62.0,-4.57477389779629,10,3.8548387096774195
0,14,325031.6299687894,3334275.6646668594,230,89,159.5,74.0,5.130601633459104,10,2.1554054054054053
1,14,325607.2916833168,3334624.1559026456,272,224,248.0,117.0,-4.908730811660416,10,2.1196581196581197
2,14,325073.5955646208,3334690.873203087,277,193,235.0,127.0,-4.723990887991579,10,1.8503937007874016
3,14,325047.4489234125,3334680.5452777944,190,219,204.5,136.0,-5.022921917908113,10,1.5036764705882353
4,14,325472.5929096375,3334808.7509809975,237,142,189.5,70.0,-4.736121686102811,10,2.7071428571428573
5,14,325515.2118668242,3334792.932292843,284,144,214.0,74.0,-4.77707765675652,10,2.891891891891892
6,14,325061.13210873504,3334270.56606383,249,89,169.0,73.0,4.907503401476449,10,2.315068493150685
7,14,324892.09427860554,3334639.3207929987,242,164,203.0,124.0,-4.888110911759148,10,1.6370967741935485
8,14,325389.7953789454,3334309.2196927713,205,147,176.0,93.0,-4.6524827902938135,10,1.89247311827957
9,14,324992.4973962247,3334662.5912465556,193,245,219.0,43.0,-4.82396468322804,10,5.093023255813954
0,15,325597.00739328365,3334563.4957171623,282,240,261.0,97.0,-4.906340635459756,10,2.6907216494845363
1,15,324765.84942480735,3334384.173284113,216,134,175.0,53.0,5.153901102866931,10,3.30188679245283
