,theta,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,sample,ratio
0,61,325602.14945265907,3334682.157832637,433,309,371.0,24.0,5.220294389192603,10,15.458333333333334
1,61,324773.34481661377,3334380.2513146237,236,199,217.5,104.0,5.919464228416302,10,2.0913461538461537
2,61,325605.63569550385,3334663.245110521,425,351,388.0,46.0,5.2521597118038095,10,8.434782608695652
3,61,324795.9616402568,3334368.005961098,319,301,310.0,165.0,5.445626710010375,10,1.878787878787879
4,61,325505.9300246491,3334405.0035237246,502,45,273.5,30.0,5.445977477324538,10,9.116666666666667
5,61,325225.7252487832,3334265.162530032,346,148,247.0,142.0,-2.1386251457334264,10,1.7394366197183098
6,61,324762.14544802206,3334634.3529915926,323,216,269.5,291.0,4.4636988569128855,10,0.9261168384879725
7,61,325304.0344526448,3334797.9000887126,379,245,312.0,62.0,5.14674658644307,10,5.032258064516129
8,61,324939.4197132455,3334648.77712569,442,245,343.5,153.0,-3.6640098490606925,10,2.2450980392156863
9,61,325145.0630227679,3334725.430379566,381,274,327.5,36.0,-5.198312055010969,10,9.097222222222221
0,62,324842.80766588124,3334344.6918443376,296,301,298.5,130.0,5.593924536567285,10,2.296153846153846
1,62,325256.0989837226,3334782.473608765,412,238,325.0,31.0,5.305566793635928,10,10.483870967741936
2,62,325145.0630227679,3334725.430379566,343,277,310.0,39.0,5.2833059326662015,10,7.948717948717949
3,62,324916.80262286327,3334310.962651804,321,221,271.0,131.0,5.335297405864972,10,2.068702290076336
4,62,325225.7252487832,3334265.162530032,389,152,270.5,217.0,-3.1726793547696723,10,1.2465437788018434
5,62,325586.9407854745,3334720.244731535,193,78,135.5,77.0,-2.099184929727439,10,1.7597402597402598
6,62,325597.00739328365,3334563.4957171623,473,366,419.5,28.0,5.349453074384621,10,14.982142857142858
7,62,325328.9608960046,3334804.0009597824,439,133,286.0,10.0,-5.337619816829395,10,28.6
8,62,324762.14544802206,3334634.3529915926,325,226,275.5,164.0,1.9921399402031905,10,1.6798780487804879
9,62,325372.2335577047,3334300.286251815,287,191,239.0,58.0,-2.518397566440615,10,4.120689655172414
0,63,325515.2118668242,3334792.932292843,205,164,184.5,91.0,-2.593729541913471,10,2.0274725274725274
1,63,325586.9407854745,3334720.244731535,205,67,136.0,66.0,-1.857123860871451,10,2.0606060606060606
2,63,325605.63569550385,3334663.245110521,431,299,365.0,39.0,5.31645343658548,10,9.35897435897436
3,63,325475.0768420623,3334808.6202489566,211,180,195.5,74.0,-5.283220633166542,10,2.641891891891892
4,63,325258.40860419115,3334783.1708516353,420,242,331.0,27.0,5.298351626463031,10,12.25925925925926
5,63,324939.4197132455,3334648.77712569,464,254,359.0,130.0,-3.0377753090216633,10,2.7615384615384615
6,63,324944.0822852097,3334301.2012393097,349,222,285.5,206.0,5.259808405708715,10,1.3859223300970873
7,63,325532.4252683432,3334434.9850001712,494,195,344.5,44.0,5.237663217680729,10,7.829545454545454
8,63,325373.49731027876,3334301.1142287743,293,194,243.5,96.0,-3.2451351935076027,10,2.5364583333333335
9,63,325314.79811802495,3334280.458346738,295,120,207.5,154.0,-4.494076762875681,10,1.3474025974025974
0,64,325258.40860419115,3334783.1708516353,458,246,352.0,46.0,4.986987517148837,10,7.6521739130434785
1,64,325448.75604789786,3334351.533662352,548,246,397.0,52.0,5.237369304072692,10,7.634615384615385
2,64,324755.6523608726,3334636.052501133,552,137,344.5,12.0,-5.573730367952024,10,28.708333333333332
3,64,325597.00739328365,3334563.4957171623,462,376,419.0,10.0,5.6230200103291965,10,41.9
4,64,325169.2922177315,3334739.070221893,386,306,346.0,82.0,-5.146579426965449,10,4.219512195121951
5,64,324780.66598608927,3334632.130526611,271,152,211.5,143.0,1.5398154111935722,10,1.479020979020979
6,64,325492.2901988519,3334391.1458100327,504,5,254.5,40.0,5.1690747971297455,10,6.3625
7,64,325604.76419713954,3334603.369330842,393,310,351.5,54.0,5.2267483898936105,10,6.5092592592592595
8,64,325585.9820755528,3334721.900685195,191,118,154.5,386.0,-7.393133776560126,10,0.40025906735751293
9,64,325173.0397645167,3334262.199204347,380,170,275.0,199.0,-4.962049666213196,10,1.3819095477386936
0,65,325227.99128893187,3334265.336842259,639,111,375.0,33.0,5.2314618911294115,10,11.363636363636363
1,65,325304.0344526448,3334797.9000887126,449,262,355.5,8.0,5.26897136911631,10,44.4375
2,65,324755.6523608726,3334636.052501133,527,138,332.5,51.0,-4.649243534889412,10,6.519607843137255
3,65,325519.3519593715,3334419.819949044,487,21,254.0,49.0,5.078099169759346,10,5.183673469387755
4,65,324972.75643210794,3334291.1347750225,363,196,279.5,226.0,5.296093108565971,10,1.2367256637168142
5,65,325234.1794022497,3334773.4094576472,407,229,318.0,45.0,5.025875690039846,10,7.066666666666666
6,65,325601.14726127806,3334583.715779584,439,364,401.5,30.0,5.1090769307924315,10,13.383333333333333
7,65,325225.7252487832,3334265.162530032,639,110,374.5,25.0,6.01701634655259,10,14.98
8,65,325389.7953789454,3334309.2196927713,572,238,405.0,58.0,5.09378578781452,10,6.982758620689655
9,65,325372.2335577047,3334300.286251815,272,199,235.5,104.0,-2.090540101638248,10,2.264423076923077
0,66,324972.75643210794,3334291.1347750225,383,195,289.0,224.0,4.603490388295764,10,1.2901785714285714
1,66,324755.6523608726,3334636.052501133,523,138,330.5,12.0,-4.525224120111702,10,27.541666666666668
2,66,324939.4197132455,3334648.77712569,451,18,234.5,180.0,-2.263239134058631,10,1.3027777777777778
3,66,325256.0989837226,3334782.473608765,470,257,363.5,57.0,5.139394752332101,10,6.37719298245614
4,66,324758.7463852133,3334634.9630728867,544,127,335.5,39.0,-5.929722148029607,10,8.602564102564102
5,66,325353.7130294207,3334808.4458767343,449,98,273.5,35.0,-5.663249005528447,10,7.814285714285714
6,66,325549.85612694186,3334769.138890449,214,135,174.5,83.0,-2.3542518082558885,10,2.102409638554217
7,66,325145.0630227679,3334725.430379566,381,288,334.5,8.0,4.779247832699429,10,41.8125
8,66,325585.9820755528,3334721.900685195,547,104,325.5,49.0,5.19049351921731,10,6.642857142857143
9,66,325373.49731027876,3334301.1142287743,286,201,243.5,93.0,-2.4447843064301233,10,2.618279569892473
0,67,325607.2916661544,3334644.2016512095,432,364,398.0,20.0,-5.237828059961449,10,19.9
1,67,325463.2238569299,3334364.4326664796,508,154,331.0,12.0,6.35476843692447,10,27.583333333333332
2,67,325605.63569550385,3334663.245110521,415,346,380.5,22.0,5.278835480563996,10,17.295454545454547
3,67,324769.4228145983,3334382.4301933832,304,218,261.0,93.0,5.07338715948056,10,2.806451612903226
4,67,324965.5227812114,3334655.139456636,606,279,442.5,28.0,6.271877267046594,10,15.803571428571429
