,theta,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,sample,ratio
0,1,324758.0055631192,3334635.180958705,266,84,175.0,108.0,5.243149163055455,10,1.6203703703703705
1,1,325601.14726127806,3334583.715779584,277,223,250.0,147.0,-4.7498303486584215,10,1.7006802721088434
2,1,325555.82648712705,3334467.5811462076,288,174,231.0,67.0,-4.750824684475658,10,3.4477611940298507
3,1,325585.9820755528,3334721.900685195,258,257,257.5,123.0,-4.531190482119961,10,2.0934959349593494
4,1,325549.85612694186,3334769.138890449,294,299,296.5,106.0,-5.1679901576497285,10,2.797169811320755
5,1,324760.4459170554,3334634.6144557307,275,95,185.0,123.0,5.342699260427066,10,1.5040650406504066
6,1,325475.0768420623,3334808.6202489566,224,164,194.0,72.0,-4.867061412586896,10,2.6944444444444446
7,1,325314.79811802495,3334280.458346738,211,85,148.0,41.0,-4.769653123120381,10,3.6097560975609757
8,1,325405.0475809671,3334318.3710212666,222,160,191.0,41.0,-4.6437062692522915,10,4.658536585365853
9,1,325256.0989837226,3334782.473608765,258,182,220.0,47.0,-5.112036107344233,10,4.680851063829787
0,2,325605.63569550385,3334663.245110521,211,219,215.0,94.0,-5.035324393791284,10,2.2872340425531914
1,2,325429.97395905165,3334814.328895418,233,137,185.0,61.0,4.906864664149177,10,3.0327868852459017
2,2,325145.0630227679,3334725.430379566,248,194,221.0,113.0,-4.796989512604661,10,1.9557522123893805
3,2,325173.0397645167,3334262.199204347,189,82,135.5,36.0,-4.316805752240137,10,3.763888888888889
4,2,324939.4197132455,3334648.77712569,217,194,205.5,49.0,-4.853651767602161,10,4.1938775510204085
5,2,325274.75018680457,3334271.5248930263,198,83,140.5,47.0,-4.537850317928802,10,2.9893617021276597
6,2,325334.1466277638,3334286.5156633942,206,121,163.5,50.0,-4.375596294726791,10,3.27
7,2,324842.80766588124,3334344.6918443376,217,179,198.0,51.0,5.176595963972164,10,3.8823529411764706
8,2,325169.2922177315,3334739.070221893,356,181,268.5,159.0,-4.549519003694666,10,1.6886792452830188
9,2,325234.1794022497,3334773.4094576472,374,230,302.0,17.0,-4.2886453509362585,10,17.764705882352942
0,3,324767.2874972273,3334383.519626885,215,120,167.5,85.0,5.068215932845291,10,1.9705882352941178
1,3,324755.6523608726,3334636.052501133,259,434,346.5,122.0,5.122211286891158,10,2.8401639344262297
2,3,325533.3401803465,3334781.994301963,324,184,254.0,116.0,-4.6724254214396135,10,2.189655172413793
3,3,325607.2916661544,3334644.2016512095,277,219,248.0,31.0,-4.874918542023208,10,8.0
4,3,325434.2446604172,3334339.5933695007,193,160,176.5,84.0,-4.545358461408679,10,2.1011904761904763
5,3,324972.75643210794,3334291.1347750225,234,134,184.0,64.0,5.061404305015824,10,2.875
6,3,325463.2238569299,3334364.4326664796,210,187,198.5,94.0,-4.919463417440918,10,2.1117021276595747
7,3,325146.893285126,3334726.82486727,256,198,227.0,89.0,-4.914931286494242,10,2.550561797752809
8,3,325566.28513873473,3334485.535168896,270,160,215.0,68.0,-4.647690042732548,10,3.161764705882353
9,3,324992.4973962247,3334662.5912465556,184,199,191.5,74.0,-4.8477977417464375,10,2.5878378378378377
0,4,325334.1466277638,3334286.5156633942,226,129,177.5,88.0,-5.0469281363129515,10,2.0170454545454546
1,4,325405.5268915321,3334814.285299212,156,109,132.5,40.0,5.22606115085678,10,3.3125
2,4,325274.75018680457,3334271.5248930263,205,83,144.0,53.0,-5.09030899178565,10,2.7169811320754715
3,4,325582.9753913861,3334522.140458451,201,155,178.0,85.0,-4.848956650754241,10,2.0941176470588236
4,4,325604.76419713954,3334603.369330842,272,243,257.5,71.0,-4.758486316871167,10,3.6267605633802815
5,4,325234.1794022497,3334773.4094576472,305,227,266.0,47.0,-4.691056277077352,10,5.659574468085107
6,4,324794.3492663547,3334369.269715854,228,122,175.0,51.0,5.194057277709305,10,3.4313725490196076
7,4,325225.7252487832,3334265.162530032,196,82,139.0,60.0,-4.6417547799098005,10,2.316666666666667
8,4,324758.7463852133,3334634.9630728867,253,428,340.5,114.0,4.742874403862034,10,2.986842105263158
9,4,325212.1726602481,3334762.732931249,337,203,270.0,67.0,-4.582134318715349,10,4.029850746268656
0,5,325405.5268915321,3334814.285299212,167,82,124.5,53.0,5.121214296318463,10,2.349056603773585
1,5,324755.6523608726,3334636.052501133,253,68,160.5,153.0,5.492837825025209,10,1.0490196078431373
2,5,325212.1726602481,3334762.732931249,378,202,290.0,53.0,-4.698984276938711,10,5.471698113207547
3,5,325380.1211093549,3334812.367872716,171,54,112.5,17.0,5.2231712027705495,10,6.617647058823529
4,5,325274.75018680457,3334271.5248930263,229,83,156.0,49.0,-4.730690011155745,10,3.183673469387755
5,5,324765.84942480735,3334384.173284113,226,122,174.0,32.0,4.564554457768687,10,5.4375
6,5,324892.09427860554,3334639.3207929987,253,216,234.5,84.0,-4.8198585876589455,10,2.7916666666666665
7,5,324972.75643210794,3334291.1347750225,234,127,180.5,52.0,5.045999658653107,10,3.4711538461538463
8,5,325373.49731027876,3334301.1142287743,203,120,161.5,88.0,-4.985949688185832,10,1.8352272727272727
9,5,325586.9407854745,3334720.244731535,297,220,258.5,95.0,-5.019514531929758,10,2.721052631578947
0,6,325258.40860419115,3334783.1708516353,252,166,209.0,19.0,-4.837467813611933,10,11.0
1,6,324944.0822852097,3334301.2012393097,236,207,221.5,68.0,5.046711729130935,10,3.2573529411764706
2,6,325564.4546612122,3334753.320192458,297,182,239.5,110.0,-4.628570453832997,10,2.1772727272727272
3,6,325555.82648712705,3334467.5811462076,273,188,230.5,73.0,-4.692897581011078,10,3.1575342465753424
4,6,325234.1794022497,3334773.4094576472,285,225,255.0,33.0,-4.9848092718248385,10,7.7272727272727275
5,6,325495.81980936916,3334801.9528679466,260,123,191.5,51.0,-4.656644137718368,10,3.7549019607843137
6,6,325031.6299687894,3334275.6646668594,233,85,159.0,54.0,5.041900461048257,10,2.9444444444444446
7,6,325212.1726602481,3334762.732931249,313,200,256.5,46.0,-5.111269415610384,10,5.576086956521739
8,6,324842.8514262377,3334633.002046105,285,516,400.5,78.0,-5.394217646365988,10,5.134615384615385
9,6,324769.4228145983,3334382.4301933832,206,125,165.5,53.0,5.255911214562766,10,3.1226415094339623
0,7,325314.79811802495,3334280.458346738,196,83,139.5,112.0,-5.661186382437796,10,1.2455357142857142
1,7,324794.3492663547,3334369.269715854,239,121,180.0,42.0,4.932413322315913,10,4.285714285714286
2,7,325555.82648712705,3334467.5811462076,320,191,255.5,96.0,-4.706183188376373,10,2.6614583333333335
3,7,324916.80262286327,3334310.962651804,218,223,220.5,54.0,4.890825844977532,10,4.083333333333333
4,7,325061.13210873504,3334270.56606383,210,85,147.5,55.0,5.035548394461175,10,2.6818181818181817
5,7,325225.7252487832,3334265.162530032,202,82,142.0,72.0,-4.980164411742213,10,1.9722222222222223
6,7,325564.4546612122,3334753.320192458,326,180,253.0,60.0,-4.8361491133811425,10,4.216666666666667
7,7,325607.2916661544,3334644.2016512095,260,218,239.0,75.0,-4.817329042765432,10,3.1866666666666665
8,7,324780.66598608927,3334632.130526611,254,94,174.0,123.0,5.301160757910195,10,1.4146341463414633
