,river,bar,minSlope,medianSlope,maxSlope
0,Brazos,0.0,2.0635880035445067,5.736545067766307,22.855956018567554
1,Brazos,2.0,6.769045101928322,7.609463176020106,8.44988125011189
2,Brazos,3.0,1.6019727806490554,7.232503270344405,22.08687438845312
3,Brazos,4.0,7.364326783150555,7.364326783150555,7.364326783150555
4,Brazos,6.0,7.250541201720634,7.250541201720634,7.250541201720634
5,Brazos,7.0,3.0779617829283743,5.54714751901771,10.225451357485715
6,Brazos,9.0,7.1455906522491475,7.1455906522491475,7.1455906522491475
7,Koyukuk,0.0,0.6635746279813962,0.9148890591654175,1.1662034903494387
8,Koyukuk,1.0,0.8925454372782095,2.300458130502392,6.5533894048473735
9,Koyukuk,2.0,0.8161896485124338,1.7701051718230267,3.5316274842522515
10,Koyukuk,3.0,1.2010428653062406,2.032428209382711,3.2097630247587103
11,Koyukuk,4.0,0.7924392008527132,1.2137208449136392,1.7035476494632218
12,Koyukuk,5.0,1.922505219892665,1.922505219892665,1.922505219892665
13,Koyukuk,6.0,0.5344308969027712,1.1319395457611554,2.0221200666191232
14,Koyukuk,7.0,11.455568843378513,11.455568843378513,11.455568843378513
15,Koyukuk,8.0,1.4282409764674882,2.634179106750177,3.8401172370328664
16,Koyukuk,9.0,1.2697825509323344,2.2167399729096955,4.706274883061578
17,Koyukuk,10.0,0.7036530658601671,0.8089639041380041,0.9142747424158411
18,Koyukuk,11.0,0.7014941345405477,1.4701644769629247,2.238834819385302
19,Koyukuk,12.0,1.349233096671413,1.7617141062725974,1.9312260563415786
20,Mississippi,0.0,0.4522904792610829,0.9971955989730799,2.1547578144421107
21,Mississippi,1.0,0.4139284531558853,0.7147101877266979,1.0154919222975105
22,Mississippi - Leclair,0.0,0.6442604237938958,6.05678024710373,17.81118614322237
23,Mississippi - Leclair,2.0,1.368762559440202,5.035252673241493,9.688488668355403
24,Mississippi - Leclair,3.0,1.9075409550150588,7.890542722077714,15.002240069999338
25,Nestucca,0.0,13.43122168173159,25.776304207679885,32.284517740812674
26,Nestucca,1.0,17.38905427601945,17.38905427601945,17.38905427601945
27,Nestucca,2.0,6.189501129808335,13.524048919949612,25.35800495229393
28,Nestucca,3.0,13.838885930866352,13.838885930866352,13.838885930866352
29,Nestucca,4.0,5.960446360349056,13.689113263731883,25.976962974934402
30,Nestucca,5.0,10.6149090173661,10.6149090173661,10.6149090173661
31,Nestucca,6.0,26.96857540118591,26.96857540118591,26.96857540118591
32,Nestucca,7.0,9.406429206993996,9.449439475671113,9.492449744348228
33,Nestucca,8.0,7.157980682367611,16.10039350744479,42.846149733072004
34,Nestucca,9.0,33.87255318761241,33.87255318761241,33.87255318761241
35,Nestucca,10.0,8.411212810476144,19.432480717484218,34.34475409315649
36,Powder,0.0,6.164553821691966,19.03797109401697,32.12834706189701
37,Powder,1.0,6.881607012068379,9.12206398449344,11.603520143073242
38,Powder,2.0,4.335490968065639,8.33552386324322,18.542725198317605
39,Powder,3.0,6.484760871146241,7.656427200911741,8.363240427788968
40,Powder,4.0,7.047281636737849,8.894866929922555,10.74245222310726
41,Powder,5.0,17.433128435305278,19.212937101551454,20.99274576779763
42,Powder,6.0,4.754552837254711,8.751380062712382,19.353483680576765
43,Powder,7.0,6.331406573403577,13.781105029821608,25.344282694266262
44,Powder,8.0,5.422074478529585,5.422074478529585,5.422074478529585
45,Powder,9.0,5.482472214268159,11.502690184615297,22.752145349570807
46,Powder,10.0,10.396710205229613,22.318588596249157,30.781382513668245
47,Powder,11.0,8.952795197217434,17.31162315570946,27.668067756607563
48,Powder,12.0,7.25601626683058,7.25601626683058,7.25601626683058
49,Powder,13.0,3.9983945543383093,3.9983945543383093,3.9983945543383093
50,Powder,14.0,10.794175640526758,16.407721033095513,22.38146107628547
51,Powder,15.0,9.53136024212071,18.344319795874828,22.862455855972993
52,Powder,16.0,13.303283036205288,20.472279579801214,29.225181651378882
53,Powder,17.0,8.24007680459878,8.24007680459878,8.24007680459878
54,Powder,18.0,3.904177366062722,8.999741821122655,17.508807714383472
55,Powder,19.0,12.260404722780075,13.10460007958608,13.948795436392084
56,Powder,20.0,9.937045797197047,13.863401201197444,19.730155096345765
57,Powder,21.0,5.561095749358381,9.810577265686941,13.575083202551278
58,Red,0.0,10.59108616780372,15.328656181474312,26.568577189554837
59,Red,1.0,1.6914335206000337,4.558106082476661,9.258301434696419
60,Red,2.0,3.894893953640845,7.547999930449864,12.695292425440194
61,Red,3.0,3.3406018849312087,6.543713240432974,13.890049023566618
62,Red,6.0,1.875470517959239,2.0184650163936277,2.1614595148280165
63,Red,7.0,8.244984762621527,10.98058430834711,12.41087594365527
64,Red,8.0,6.080793902356768,12.12049108678815,22.626626531847517
65,Red,9.0,1.382026448614755,4.637169476507683,7.8991783487138605
66,Red,10.0,2.3296191496244196,6.37979297750716,10.429966805389899
67,Red,11.0,5.257228649936009,5.9109757048445335,6.5647227597530575
68,Red,12.0,5.313285441650478,12.735727496988085,31.052936335838925
69,Rio Grande,0.0,6.6128488483245675,8.018972265900992,9.695547555241724
70,Rio Grande,1.0,26.799600370739697,26.799600370739697,26.799600370739697
71,Rio Grande,2.0,5.55544422646909,12.210914075105727,18.71262591245969
72,Rio Grande,3.0,4.616447629227448,6.108170667279898,7.59989370533235
73,Rio Grande,4.0,6.206593015726065,8.818955994832846,11.822676178910497
74,Rio Grande,5.0,4.856511406799003,7.86249987237943,11.645443031720216
75,Rio Grande,7.0,4.951602880455854,5.706886943248658,6.727955824699798
76,Rio Grande,8.0,6.151398572787065,6.739770132815474,7.328141692843883
77,Rio Grande,9.0,11.652335168849003,15.948972732621234,20.245610296393465
78,Rio Grande,10.0,5.406918637893649,5.406918637893649,5.406918637893649
79,Rio Grande,11.0,6.722030555204045,7.602927306447775,8.483824057691505
80,Rio Grande,12.0,7.033403659059555,12.134123638036995,17.234843617014434
81,Rio Grande,13.0,7.445424644864475,13.11061981653071,18.775814988196945
82,Rio Grande,14.0,4.922134540705713,8.810331968497014,15.714653791384393
83,Rio Grande,15.0,7.7404216129318915,7.7404216129318915,7.7404216129318915
84,Rio Grande,16.0,7.680073054090703,7.854499502576273,8.028925951061844
85,Rio Grande,17.0,6.080273229392933,9.430198838549797,14.163163082218423
86,Rio Grande,18.0,4.566173096059621,7.042615276793764,9.519057457527909
87,Rio Grande,20.0,4.7210348549556205,4.7210348549556205,4.7210348549556205
88,Rio Grande,21.0,5.848536734038014,7.125954159943002,8.40337158584799
89,Rio Grande,22.0,3.755133611960477,7.022420725501988,12.308042780872102
90,Rio Grande,24.0,6.376986145306217,8.720538948291876,11.735410697478141
91,Rio Grande,25.0,4.951018460080776,4.99735309643753,5.043687732794285
92,Sacramento,0.0,1.8023552071170335,7.190470840426375,23.060084824767188
93,Sacramento,1.0,4.871164960745401,5.935064307994708,6.998963655244015
94,Sacramento,2.0,2.553458601321546,3.589373728867276,4.625288856413006
