,bar,idx,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,river
7,1,1_0,324283.710265174,3320802.41270349,256,211,233.5,218,Trinity River
8,1,1_1,324493.419279584,3320935.28676381,180,198,189,133,Trinity River
9,1,1_2,324552.791849958,3320978.94320732,192,213,202.5,133,Trinity River
10,1,1_3,324657.407965547,3321202.14629946,286,256,271,134,Trinity River
11,1,1_4,324589.462486447,3321377.24776327,219,191,205,98,Trinity River
12,2,2_0,324589.462486447,3321377.24776327,219,191,205,101,Trinity River
13,2,2_1,324488.497200141,3321505.83546209,203,160,181.5,115,Trinity River
14,2,2_2,324337.843251474,3321702.36842756,315,252,283.5,154,Trinity River
15,2,2_3,324264.342092406,3321863.97636882,166,165,165.5,92,Trinity River
16,2,2_4,324282.757460224,3322027.80668223,195,209,202,82,Trinity River
17,3,3_0,324282.757460224,3322027.80668223,195,209,202,102,Trinity River
18,3,3_1,324342.606255966,3322175.60324674,222,409,315.5,82,Trinity River
19,3,3_2,324357.211040128,3322324.98730312,214,246,230,124,Trinity River
20,3,3_3,324303.553333292,3322466.91001488,220,205,212.5,122,Trinity River
21,4,4_0,324303.553333292,3322466.91001488,220,205,212.5,87,Trinity River
22,4,4_1,324221.638152845,3322553.11135577,234,117,175.5,109,Trinity River
23,4,4_2,324065.268944931,3322683.60406642,182,135,158.5,130,Trinity River
24,4,4_3,323941.284993864,3322819.01815674,183,117,150,126,Trinity River
25,4,4_4,323854.607455261,3322956.49602507,178,85,131.5,90,Trinity River
26,4,4_5,323824.762531429,3323107.62637513,199,110,154.5,123,Trinity River
27,4,4_6,323834.287677932,3323261.7729317,171,110,140.5,104,Trinity River
28,4,4_7,323879.214152748,3323408.29945352,145,69,107,96,Trinity River
29,5,5_0,324030.185032668,3324749.89822665,202,129,165.5,97,Trinity River
30,5,5_1,323870.482180594,3324903.72705498,232,95,163.5,133,Trinity River
31,5,5_2,323691.094586889,3325000.88234673,251,150,200.5,115,Trinity River
32,5,5_3,323495.355329886,3325106.61010996,179,213,196,99,Trinity River
33,5,5_4,323388.516375742,3325212.49668759,206,255,230.5,130,Trinity River
34,5,5_5,323333.58906867,3325384.89968546,215,149,182,120,Trinity River
35,5,5_6,323382.00823771,3325557.14371014,212,57,134.5,78,Trinity River
36,5,5_7,323492.022289022,3325687.63636627,196,97,146.5,82,Trinity River
37,6,6_0,324049.394618547,3326084.67083348,163,87,125,82,Trinity River
38,6,6_1,324213.700991034,3326142.45589123,190,87,138.5,81,Trinity River
39,6,6_2,324400.391445151,3326177.69838586,228,147,187.5,123,Trinity River
40,6,6_4,324681.379558416,3326374.07286503,244,144,194,131,Trinity River
41,6,6_5,324738.370778533,3326522.82195731,210,110,160,80,Trinity River
42,6,6_6,324737.735580531,3326661.25221597,182,72,127,88,Trinity River
43,7,7_0,324502.944173451,3326982.7216208,174,165,169.5,138,Trinity River
44,7,7_1,324521.358878384,3327182.27076823,328,203,265.5,74,Trinity River
45,7,7_2,324466.748559891,3327312.76339858,188,153,170.5,107,Trinity River
46,8,8_0,324265.770578614,3327448.17705021,252,116,184,119,Trinity River
47,8,8_1,324060.982746598,3327532.47356584,159,133,146,120,Trinity River
48,8,8_2,323918.266233168,3327649.15535538,203,137,170,121,Trinity River
49,8,8_3,323906.519231123,3327807.90572078,231,165,198,119,Trinity River
50,9,9_0,324214.653737033,3328255.10528889,163,149,156,125,Trinity River
51,9,9_1,324326.731393563,3328388.61430844,216,163,189.5,147,Trinity River
52,9,9_2,324457.06540775,3328490.69070353,260,223,241.5,152,Trinity River
53,9,9_3,324591.368196441,3328593.56095194,238,234,236,150,Trinity River
54,9,9_4,324703.604626429,3328721.67253489,215,175,195,101,Trinity River
55,9,9_5,324749.641890947,3328886.61419349,183,114,148.5,74,Trinity River
56,10,10_0,324485.957351508,3329635.75686905,145,95,120,59,Trinity River
57,10,10_1,324407.534709851,3329805.14344961,176,139,157.5,98,Trinity River
58,11,11_0,324419.759086851,3330168.52292784,202,142,172,91,Trinity River
59,11,11_1,324508.500523732,3330345.05330191,192,179,185.5,88,Trinity River
60,12,12_0,324556.284048777,3330547.77749708,165,141,153,86,Trinity River
61,12,12_1,324543.734273015,3330784.31354437,215,109,162,114,Trinity River
62,12,12_2,324546.840119496,3331047.99401696,199,150,174.5,108,Trinity River
63,12,12_3,324672.003537833,3331254.43890692,167,132,149.5,98,Trinity River
64,13,13_0,324672.003537833,3331254.43890692,167,132,149.5,71,Trinity River
65,13,13_1,324897.428313381,3331298.88886156,244,167,205.5,126,Trinity River
66,13,13_2,325131.58544894,3331306.03265256,271,198,234.5,126,Trinity River
67,14,14_0,325298.008629443,3331433.29798072,228,165,196.5,84,Trinity River
68,15,15_0,325343.517414887,3332227.57871168,216,195,205.5,113,Trinity River
69,15,15_1,325388.495902244,3332472.84802929,300,150,225,140,Trinity River
70,16,16_0,325242.709905301,3332655.14599134,199,112,155.5,109,Trinity River
71,16,16_1,325028.926229724,3332879.51335255,236,119,177.5,89,Trinity River
72,16,16_2,325148.253497871,3332728.96497912,272,196,234,139,Trinity River
73,17,17_0,324985.005646615,3333085.35969462,167,135,151,74,Trinity River
74,17,17_1,325042.155978893,3333342.79975817,260,168,214,103,Trinity River
75,18,18_0,324100.501335287,3334035.74457652,231,139,185,81,Trinity River
76,18,18_1,323956.832407115,3334171.74091104,231,166,198.5,116,Trinity River
77,18,18_2,323921.113949969,3334322.28925853,247,170,208.5,102,Trinity River
78,19,19_0,324524.364955384,3334513.58294251,214,111,162.5,61,Trinity River
79,19,19_1,324761.431674887,3334358.53665199,234,116,175,95,Trinity River
80,19,19_2,324994.794996479,3334259.84684055,267,164,215.5,116,Trinity River
81,19,19_3,325241.916932048,3334257.99471872,240,81,160.5,88,Trinity River
82,19,19_4,325491.684359296,3334394.52043071,255,154,204.5,135,Trinity River
83,19,19_5,325575.557060723,3334571.52722708,324,245,284.5,69,Trinity River
84,19,19_6,325526.079230518,3334784.78157956,320,170,245,112,Trinity River
85,20,20_0,325326.319240348,3334810.97512235,190,110,150,88,Trinity River
86,20,20_1,325130.791741608,3334716.51891861,256,193,224.5,115,Trinity River
87,20,20_2,324982.624688376,3334650.90200934,227,206,216.5,123,Trinity River
88,20,20_3,324728.094413511,3334650.37273936,320,98,209,105,Trinity River
89,20,20_4,324551.881345442,3334791.66083652,339,226,282.5,166,Trinity River
90,20,20_5,324502.669331284,3335007.0322988,353,211,282,138,Trinity River
91,20,20_6,324583.367925216,3335170.5448167,268,186,227,142,Trinity River
92,21,21_0,324832.870207536,3335259.70883741,252,107,179.5,71,Trinity River
93,21,21_1,325243.768949927,3335303.10097642,224,140,182,54,Trinity River
94,21,21_2,325426.596394772,3335344.90543258,239,112,175.5,100,Trinity River
95,21,21_3,325653.345242139,3335438.56795994,243,146,194.5,109,Trinity River
96,21,21_4,325883.169687563,3335622.1011585,247,180,213.5,74,Trinity River
97,21,21_5,326015.841130314,3335854.14161982,223,137,180,63,Trinity River
98,21,21_6,326006.315462846,3336111.84626466,208,109,158.5,78,Trinity River
99,22,22_0,325902.068715478,3336420.35076443,196,147,171.5,57,Trinity River
100,22,22_1,325711.832962694,3336705.57196138,266,116,191,91,Trinity River
101,22,22_2,325554.406083442,3336963.01247373,290,164,227,110,Trinity River
102,23,23_0,325685.905223632,3337900.96235512,239,114,176.5,71,Trinity River
103,23,23_1,325741.996873214,3338226.4005248,212,136,174,173,Trinity River
104,23,23_2,325736.704491031,3338527.76145818,355,258,306.5,98,Trinity River
105,23,23_3,325578.218723631,3338725.14043418,276,222,249,138,Trinity River
106,24,24_1,325071.012731786,3338602.37331639,391,234,312.5,94,Trinity River
107,24,24_2,324697.155020939,3338541.51877446,224,138,181,104,Trinity River
108,24,24_3,324368.540887517,3338603.43123776,256,166,211,95,Trinity River
109,24,24_4,324024.316947405,3338844.99700094,256,137,196.5,108,Trinity River
110,24,24_5,323885.410964451,3339065.13121792,218,141,179.5,94,Trinity River
111,25,25_0,322839.247373893,3340825.6713257,254,193,223.5,82,Trinity River
112,25,25_1,322493.701224092,3340758.4667219,220,219,219.5,102,Trinity River
113,25,25_2,322137.834527421,3340780.42732767,326,195,260.5,165,Trinity River
114,25,25_3,321898.121471852,3340973.30992913,348,222,285,188,Trinity River
0,1,1_0,521940.000003417,4348199.99999581,37.1856,14.6304,85,14.0208,White River
1,1,1_1,519420.000115891,4347923.99991735,57.6072,20.7264,128.5,6.096,White River
2,1,1_2,519599.999848116,4347923.99965439,50.9016,28.0416,129.5,9.7536,White River
3,1,1_3,520139.999997768,4347929.99965408,39.0144,6.7056,75,8.8392,White River
4,1,1_4,520409.999894077,4347920.99965434,32.6136,6.7056,64.5,4.2672,White River
5,1,1_5,519749.999951735,4347902.9996542,36.576,6.7056,71,7.0104,White River
6,2,2_0,523907.999838389,4353224.99989346,60.6552,7.3152,111.5,5.7912,White River
7,3,3_0,523896.000194815,4353392.99989573,40.2336,35.6616,124.5,4.2672,White River
8,3,3_1,529409.999848048,4353437.99975783,42.0624,24.0792,108.5,6.7056,White River
9,3,3_2,528668.999856439,4353371.99967647,23.7744,55.4736,130,10.668,White River
10,4,4_0,524129.999838125,4353929.99988438,42.0624,32.3088,122,23.4696,White River
11,4,4_1,526229.999997088,4353929.99965342,34.7472,28.6512,104,4.572,White River
12,4,4_2,526689.000118121,4353926.99982491,29.2608,14.6304,72,6.4008,White River
13,4,4_3,529715.999923685,4353929.99998703,64.3128,28.956,153,17.0688,White River
14,4,4_4,526731.000117942,4353941.99989384,33.2232,34.7472,111.5,20.4216,White River
15,4,4_5,524195.99983393,4353875.99990957,80.772,35.052,190,32.9184,White River
16,5,5_0,524064.000170117,4354361.99981607,28.0416,24.384,86,7.0104,White River
17,5,5_1,524025.000156061,4354334.9998914,32.6136,24.384,93.5,5.1816,White River
18,5,5_2,529704.000200742,4354349.99996235,89.0016,29.5656,194.5,31.6992,White River
19,5,5_3,524411.999842517,4354301.9998706,80.4672,28.956,179.5,28.3464,White River
20,5,5_4,524489.999860379,4354259.99982692,29.8704,23.1648,87,15.24,White River
21,5,5_5,524582.999835951,4354205.99989064,45.1104,23.4696,112.5,10.3632,White River
22,5,5_8,524669.999849412,4354136.9998613,51.2064,33.8328,139.5,26.2128,White River
23,5,5_9,527070.000101119,4354100.99965272,28.0416,6.7056,57,10.3632,White River
24,5,5_10,526938.000153443,4354067.99978849,34.1376,28.956,103.5,8.8392,White River
25,5,5_11,525692.999848067,4354052.99985628,29.2608,17.0688,76,5.4864,White River
26,9,9_0,534770.999840286,4357490.99992969,58.2168,42.672,165.5,15.8496,White River
27,9,9_1,535362.000164003,4357460.99988008,35.6616,27.1272,103,20.1168,White River
28,9,9_2,535341.000177446,4357442.99990453,35.9664,34.1376,115,6.7056,White River
29,9,9_4,534896.999652928,4357253.99985544,32.3088,46.3296,129,14.6304,White River
30,11,11_0,539847.000163118,4359572.9998885,52.1208,32.3088,138.5,13.1064,White River
31,11,11_1,543228.000156762,4359551.99986836,35.6616,14.3256,82,10.668,White River
32,11,11_2,543144.000167146,4359485.99990728,33.8328,17.9832,85,8.2296,White River
33,11,11_3,543084.000167143,4359425.99990728,35.6616,25.908,101,10.0584,White River
34,11,11_4,543033.000153672,4359356.99994553,36.576,12.8016,81,5.7912,White River
35,11,11_5,541028.99986296,4359320.99932908,41.7576,28.6512,115.5,10.3632,White River
36,11,11_6,540659.999960989,4359308.99965295,44.5008,35.6616,131.5,22.86,White River
37,11,11_7,541259.999891498,4359290.99965351,39.3192,21.6408,100,6.7056,White River
38,13,13_0,545538.000197481,4361660.99993586,69.4944,24.384,154,21.9456,White River
