,river,theta
0,Koyukuk,2.265144047487033
1,Koyukuk,4.180345999304813
2,Koyukuk,3.8360950187136953
3,Koyukuk,3.146760603199587
4,Koyukuk,3.7192380380659977
5,Koyukuk,2.9730970197002047
6,Koyukuk,4.709176287024762
7,Koyukuk,5.744384154757848
8,Koyukuk,2.256405680780609
9,Koyukuk,6.266201300767481
10,Koyukuk,3.6093224825747314
11,Koyukuk,2.8219957607491417
12,Koyukuk,3.8964902708124725
13,Koyukuk,3.856739861329374
14,Koyukuk,3.9089230386391574
15,Koyukuk,4.638295847225555
16,Koyukuk,3.237839903550147
17,Koyukuk,5.599592906550565
18,Koyukuk,4.88977309567662
19,Koyukuk,4.417757184786288
20,Koyukuk,4.384379832495525
21,Koyukuk,6.024181181975098
22,Koyukuk,5.570504199337297
23,Koyukuk,4.307419819356871
24,Koyukuk,3.500723401088614
25,Koyukuk,3.5386578615403512
26,Koyukuk,3.6251471192544233
27,Koyukuk,3.1517846742995124
28,Koyukuk,5.034892547229404
29,Koyukuk,3.82541649629819
30,Koyukuk,3.3335987780611704
31,Koyukuk,5.3460532953241096
32,Koyukuk,5.740268468897545
33,Koyukuk,4.3021408520468105
34,Koyukuk,3.6212773538488916
35,Koyukuk,4.592873536533121
36,Koyukuk,2.8315901047265766
37,Koyukuk,4.297907961948158
38,Koyukuk,2.8471745948639975
39,Koyukuk,5.256368684491823
40,Koyukuk,3.632361418450034
41,Koyukuk,3.5763055449157077
42,Koyukuk,5.92133588890709
43,Koyukuk,3.734729957447245
44,Koyukuk,4.585563373641837
45,Koyukuk,5.3904550260111925
46,Koyukuk,4.674798810941212
47,Koyukuk,5.115124928822274
48,Koyukuk,4.588409075329103
49,Koyukuk,5.758049552194097
50,Koyukuk,4.065557670488291
51,Koyukuk,4.482386699016784
52,Koyukuk,2.8055475304043145
53,Koyukuk,3.970609537972576
54,Koyukuk,2.8745090980324925
55,Koyukuk,4.99440276826442
56,Koyukuk,6.239908501321251
57,Koyukuk,4.165353300383897
58,Koyukuk,3.1736065909562465
59,Koyukuk,5.121973505707333
60,Koyukuk,5.4841730297497975
61,Koyukuk,3.0895041212992536
62,Koyukuk,6.198139976507023
63,Koyukuk,2.1347763234302186
64,Koyukuk,4.527280680199534
65,Koyukuk,3.828673936276569
66,Koyukuk,3.5979875654665965
67,Koyukuk,2.696703800643185
68,Koyukuk,4.492939505617007
69,Koyukuk,3.287471544346118
70,Koyukuk,5.247304582672297
71,Koyukuk,4.468535808173757
72,Koyukuk,4.341197967546065
73,Koyukuk,3.988475975342654
74,Koyukuk,3.9450562491631134
75,Koyukuk,4.605981241955864
76,Koyukuk,3.4915589646612344
77,Koyukuk,3.9762917517673144
78,Trinity,5.658746727751945
79,Trinity,6.2713974683458344
80,Trinity,5.006757431845517
81,Trinity,5.488759667099715
82,Trinity,3.1775272222272886
83,Trinity,6.102895533305806
84,Trinity,3.3527012239119234
85,Trinity,2.726827487600163
86,Trinity,4.714943558159031
87,Trinity,5.016935238423147
88,Trinity,5.3082987342154
89,Trinity,6.492230261307515
90,Trinity,6.2345182783965925
91,Trinity,5.834544301528238
92,Trinity,2.9927716514868226
93,Trinity,7.3751007711148455
94,Trinity,7.2752878861364785
95,Trinity,6.338020461550762
96,Trinity,4.818053612146552
97,Trinity,3.890396689292241
98,Trinity,5.324313246172053
99,Trinity,7.159541256892139
100,Trinity,6.128063733189907
101,Trinity,5.386277142081561
102,Trinity,5.411781051362424
103,Trinity,7.309566424287677
104,Trinity,5.850352889930772
105,Trinity,6.048739027434744
106,Trinity,7.236721827138374
107,Trinity,6.875209646303099
108,Trinity,4.975297394848259
109,Trinity,5.50701392763952
110,Trinity,6.391684568088584
111,Trinity,5.064092463299611
112,Trinity,4.592707986599918
113,Trinity,8.408109959031325
114,Trinity,7.867096801517143
115,Trinity,8.004470220799432
116,Trinity,7.822235106408674
117,Trinity,5.52193660657751
118,Trinity,5.166403672488383
119,Trinity,8.098942638159883
120,Trinity,7.738348478907382
121,Trinity,4.372769408416871
122,Trinity,6.308752956086425
123,Trinity,6.226172158756808
124,Trinity,5.615811705841152
125,Trinity,5.112055492982114
126,Trinity,5.760029047700471
127,Trinity,5.492375194871044
128,Trinity,4.944582102502834
129,Trinity,4.775495281682225
130,Trinity,4.351573022014467
131,Trinity,4.042402373598477
132,Trinity,6.259113201798923
133,Trinity,8.707654815681884
134,Trinity,11.344235754140975
135,Trinity,6.957003790720307
136,Trinity,7.530670640118361
137,Trinity,7.414007709015697
138,Trinity,7.6008162461064845
139,Trinity,6.007874253750236
140,Trinity,6.579190165913236
141,Trinity,7.257343233337859
142,Trinity,9.198410093444933
143,Trinity,5.169296842028084
144,Trinity,5.039830926449253
145,Trinity,7.202061483006237
146,Trinity,5.849164443863838
147,Trinity,4.515231762228384
148,Trinity,6.091725241841644
149,Trinity,7.16514038450132
150,Trinity,4.561276625835673
151,Trinity,8.620497644351376
152,Trinity,6.17087450130351
153,Trinity,7.548514561235106
154,Trinity,5.906008786003888
155,Trinity,5.940727993656371
156,Trinity,9.661543221468802
157,Trinity,6.568873396651944
158,Trinity,5.104699280786616
159,Trinity,7.410945881637635
160,Trinity,4.714018185448962
161,Trinity,7.230561116798958
162,Trinity,5.514618472357387
163,Trinity,7.704052486750347
164,Trinity,5.684026926150466
165,Trinity,5.548197981831321
166,Trinity,6.18407837843379
167,Trinity,3.979274450876329
168,Trinity,4.609512970688924
169,Trinity,4.696728325410852
170,Trinity,9.022524432174192
171,Trinity,10.274539981486953
172,Trinity,6.752722521806508
173,Trinity,6.300629638001381
174,Trinity,8.053191697593409
175,Trinity,9.09196684481814
176,Trinity,8.437221514716917
177,Trinity,10.114898995492782
