,Unnamed: 0,bar,idx,easting,northing,channel_width_dem,channel_width_water,channel_width_mean,bar_width,bar_height,distance,river,normalized_distance,normalized_width
3,3,2,2_19,426389.99980622134,4515746.999850557,733.0,733.0,733.0,277.0,1.117674454434764,,Platte River,,1.4400785854616895
4,4,2,2_25,549999.0001687871,4515710.99987538,509.0,509.0,509.0,293.0,0.6676065839759829,,Platte River,,1.0
5,5,3,3_3,547002.0000722194,4515284.9998747315,543.0,543.0,543.0,276.0,0.5321243576118532,,Platte River,,1.105906313645621
6,6,3,3_7,549210.0001040362,4515308.999634019,552.0,552.0,552.0,241.0,0.6429199956222826,,Platte River,,1.124236252545825
7,7,3,3_11,546884.999968069,4515260.999826384,491.0,491.0,491.0,242.0,0.5961060914348545,,Platte River,,1.0
8,8,3,3_13,548910.0002018249,4515263.999632927,535.0,535.0,535.0,294.0,0.5049328570107057,,Platte River,,1.089613034623218
9,9,3,3_21,542046.0001756629,4515203.99990271,517.0,517.0,517.0,190.0,0.6289512980491053,,Platte River,,1.0529531568228105
10,10,3,3_26,548580.0000431393,4515206.99963466,535.0,535.0,535.0,190.0,0.5753401633556079,,Platte River,,1.089613034623218
11,11,3,3_28,548760.0001162847,4515221.99963391,491.0,491.0,491.0,225.0,0.5770684334813063,,Platte River,,1.0
12,12,3,3_31,546687.0001330887,4515182.9998104805,60.0,60.0,60.0,207.0,0.4840205356402844,,Platte River,,0.12219959266802444
13,13,3,3_33,547979.9999217605,4515188.999635639,535.0,535.0,535.0,207.0,0.4391782894395204,,Platte River,,1.089613034623218
14,14,3,3_38,548430.000104117,4515188.999634047,491.0,491.0,491.0,241.0,0.5054288585158444,,Platte River,,1.0
15,15,3,3_51,427502.9998265978,4515062.999918002,483.0,483.0,483.0,224.0,0.7446285011191742,,Platte River,,0.9837067209775967
16,16,3,3_52,541611.0001955671,4515053.999656985,448.0,448.0,448.0,225.0,0.5556883066874886,,Platte River,,0.9124236252545825
17,17,3,3_54,427529.9998274711,4515029.999923414,888.0,888.0,888.0,311.0,0.9870205532799112,,Platte River,,1.8085539714867618
18,18,3,3_55,541199.9998742649,4515005.9996356815,431.0,431.0,431.0,225.0,0.5766303868736189,,Platte River,,0.8778004073319755
19,19,3,3_56,541497.000116483,4515026.999677235,440.0,440.0,440.0,259.0,0.5064755235461298,,Platte River,,0.8961303462321792
20,20,3,3_60,540969.0000806558,4514990.999731083,491.0,491.0,491.0,121.0,0.4723804995138684,,Platte River,,1.0
21,21,3,3_64,545694.0001620717,4515005.999854482,690.0,690.0,690.0,293.0,0.4244393463028303,,Platte River,,1.4052953156822812
22,22,4,4_13,499080.0002785506,4500980.999636112,474.0,474.0,474.0,189.0,0.8582191814168691,,Platte River,,0.8389380530973451
23,23,4,4_25,489839.99978307396,4500959.999635953,604.0,604.0,604.0,155.0,0.3534051012127388,,Platte River,,1.0690265486725663
24,24,4,4_27,499593.0000678402,4500971.999679593,724.0,724.0,724.0,328.0,1.0194777291936488,,Platte River,,1.2814159292035399
25,25,4,4_31,498990.0002301338,4500950.9996362515,526.0,526.0,526.0,225.0,0.8625779848505579,,Platte River,,0.9309734513274336
26,26,11,11_0,643871.9997800721,4584383.999778637,647.0,647.0,647.0,362.0,1.3768012612017424,,Platte River,,0.9036312849162011
27,28,11,11_7,659796.000180891,4584323.999896984,621.0,621.0,621.0,208.0,0.8118208402481825,,Platte River,,0.86731843575419
28,30,11,11_18,644093.9998231729,4584233.999906581,655.0,655.0,655.0,276.0,1.4903298087500016,,Platte River,,0.914804469273743
29,32,11,11_27,644123.9998231746,4584203.999906583,690.0,690.0,690.0,311.0,1.594124286144449,,Platte River,,0.9636871508379888
30,34,11,11_34,659667.0001794954,4584182.999913647,655.0,655.0,655.0,259.0,0.8995095972912168,,Platte River,,0.914804469273743
31,36,11,11_41,659625.0001728928,4584134.999916236,699.0,699.0,699.0,328.0,1.0589833573871221,,Platte River,,0.9762569832402235
32,38,11,11_51,637319.9997262319,4584008.99963304,733.0,733.0,733.0,345.0,1.1705796880404442,,Platte River,,1.0237430167597765
33,40,11,11_56,644372.9998290334,4583972.9999230495,785.0,785.0,785.0,380.0,1.5721719239361227,,Platte River,,1.0963687150837989
34,42,11,11_62,644411.9998373843,4583921.999938183,958.0,958.0,958.0,414.0,1.6052362353949234,,Platte River,,1.3379888268156424
35,44,11,11_73,639807.0001764725,4583795.999877307,897.0,897.0,897.0,415.0,1.77528966150807,,Platte River,,1.2527932960893855
36,46,11,11_75,659277.0001748818,4583822.999876807,750.0,750.0,750.0,208.0,0.8441391705220105,,Platte River,,1.047486033519553
37,48,11,11_78,659241.0001716624,4583798.99986948,750.0,750.0,750.0,225.0,0.8449735518005091,,Platte River,,1.047486033519553
38,49,12,12_0,645125.9998309108,4583195.999857053,664.0,664.0,664.0,362.0,1.6111239471411123,,Platte River,,0.8601036269430051
39,50,12,12_1,650250.0000948686,4583180.999624278,897.0,897.0,897.0,242.0,1.2963929078267618,,Platte River,,1.1619170984455958
40,51,12,12_8,650190.0001577728,4583168.999622497,845.0,845.0,845.0,328.0,1.2701910958371616,,Platte River,,1.0945595854922279
41,52,12,12_12,656169.0001556356,4583120.999832951,552.0,552.0,552.0,277.0,1.7097666206704918,,Platte River,,0.7150259067357513
42,53,12,12_13,645248.9998267356,4583108.9998787865,897.0,897.0,897.0,380.0,1.3630624759172314,,Platte River,,1.1619170984455958
43,54,12,12_16,656151.0001556361,4583108.999832951,509.0,509.0,509.0,259.0,5.662996332646372,,Platte River,,0.6593264248704663
44,55,12,12_23,649860.0001960072,4583057.999621373,699.0,699.0,699.0,380.0,1.2734413489908578,,Platte River,,0.905440414507772
45,56,12,12_31,646410.00013431,4582961.999623113,949.0,949.0,949.0,328.0,1.331315735523091,,Platte River,,1.2292746113989637
46,57,13,13_2,651815.9998105676,4582601.999808163,966.0,966.0,966.0,207.0,0.7846585960024189,,Platte River,,1.0
47,58,14,14_5,649860.0001960072,4583057.999621373,699.0,699.0,699.0,380.0,1.2734413489908578,,Platte River,,0.9943100995732574
48,59,14,14_13,646410.00013431,4582961.999623113,949.0,949.0,949.0,328.0,1.331315735523091,,Platte River,,1.3499288762446657
49,60,14,14_23,646889.9998718773,4582940.999630174,845.0,845.0,845.0,277.0,1.4014215437226785,,Platte River,,1.20199146514936
50,61,14,14_32,655620.0001194155,4582916.999623481,440.0,440.0,440.0,328.0,1.3250969704024564,,Platte River,,0.6258890469416786
51,62,14,14_33,655710.0001067782,4582931.999623855,422.0,422.0,422.0,294.0,1.3296625826543989,,Platte River,,0.6002844950213371
52,63,14,14_36,649260.0001426443,4582889.9998093685,742.0,742.0,742.0,362.0,1.5415046405432251,,Platte River,,1.0554765291607398
53,64,14,14_44,654720.0000317881,4582856.999626022,699.0,699.0,699.0,207.0,4.0635365490821895,,Platte River,,0.9943100995732574
54,65,14,14_53,647099.999356559,4582829.999641098,794.0,794.0,794.0,277.0,1.3307545530559597,,Platte River,,1.1294452347083925
55,66,14,14_59,648780.0001075607,4582787.999624001,621.0,621.0,621.0,311.0,1.2408295358591812,,Platte River,,0.883357041251778
56,67,14,14_61,648960.0000699774,4582805.999625033,707.0,707.0,707.0,294.0,1.163427281256184,,Platte River,,1.0056899004267426
57,68,14,14_67,648369.0000772479,4582754.999722518,958.0,958.0,958.0,414.0,1.4037864756639762,,Platte River,,1.3627311522048364
58,69,14,14_69,648539.9999824935,4582769.9996274365,673.0,673.0,673.0,328.0,1.23644938744153,,Platte River,,0.957325746799431
59,70,14,14_72,651500.9998267419,4582760.999878999,681.0,681.0,681.0,345.0,1.2128548927128278,,Platte River,,0.968705547652916
60,71,14,14_85,647639.999810602,4582658.999631707,776.0,776.0,776.0,293.0,1.011090953670044,,Platte River,,1.1038406827880511
61,72,14,14_87,653715.0001524446,4582637.999756132,681.0,681.0,681.0,225.0,5.023966313780579,,Platte River,,0.968705547652916
62,73,14,14_93,647999.9999825585,4582589.999627456,699.0,699.0,699.0,328.0,1.6306203663466587,,Platte River,,0.9943100995732574
63,74,14,14_97,651872.9998240335,4582565.999886468,871.0,871.0,871.0,259.0,0.9025231270446132,,Platte River,,1.2389758179231865
64,75,14,14_98,653634.0000392565,4582610.999901717,768.0,768.0,768.0,225.0,4.950381036773778,,Platte River,,1.0924608819345663
65,76,14,14_99,653553.0000629219,4582574.999941699,863.0,863.0,863.0,345.0,1.4326584972609588,,Platte River,,1.2275960170697013
66,77,14,14_105,653397.000174829,4582442.999877033,880.0,880.0,880.0,345.0,1.1495842532060387,,Platte River,,1.2517780938833571
67,78,14,14_110,653226.0001632925,4582313.999848323,586.0,586.0,586.0,311.0,0.9568471301689732,,Platte River,,0.833570412517781
68,79,14,14_114,652208.9998356595,4582238.999841731,655.0,655.0,655.0,276.0,7.976502614667157,,Platte River,,0.9317211948790897
0,0,1,1_0,443039.67772205325,5007040.3962614285,124.0,23.0,73.5,14.0,2.1063532748783143,0.0,Powder River,0.0,0.8214285714285714
1,1,1,1_1,443859.68125326623,5007110.3865383575,89.0,33.0,61.0,16.0,2.1464679853723934,822.9850728089472,Powder River,1.0,1.1785714285714286
2,2,6,6_1,447959.6840713143,5010890.369686226,77.0,156.0,116.5,22.0,1.8576563976936085,0.0,Powder River,0.0,1.0032154340836013
3,3,6,6_2,447959.6841102445,5010880.369596583,85.0,155.0,120.0,20.0,1.6346009210742969,10.000089643598875,Powder River,1.0,0.9967845659163987
4,4,8,8_0,449339.6843546938,5011780.357555118,80.0,46.0,63.0,30.0,1.5861023034476205,0.0,Powder River,1.0,1.0
0,0,0,0_1,429474.0316625785,3671779.337562157,371.0,262.0,316.5,34.0,9.631990110062398,0.0,Red River,0.0,1.31
1,1,0,0_12,428928.6153571893,3671273.461031382,208.0,181.0,194.5,32.0,8.7761517858365,743.9018823562815,Red River,0.6178617380163889,0.905
2,2,0,0_15,428898.9143994592,3671052.1070634336,209.0,209.0,209.0,34.0,9.683787421628423,927.1591366162978,Red River,0.7700695066841609,1.045
3,3,0,0_20,428969.4545996335,3670686.1752862087,196.0,191.0,193.5,38.0,7.2917036215612105,1203.9940921807806,Red River,1.0,0.955
4,4,1,1_3,401271.9444823279,3714683.770763657,301.0,249.0,275.0,52.0,17.577519697873598,0.0,Red River,0.0,1.0506329113924051
5,5,1,1_5,401337.17183267797,3714551.5453477832,289.0,224.0,256.5,52.0,15.941980093846734,147.4386917898111,Red River,0.11785502231179025,0.9451476793248945
6,6,1,1_6,401380.59713130456,3714490.5415480514,299.0,208.0,253.5,64.0,12.937290202291994,221.68204233365176,Red River,0.177201396242728,0.8776371308016878
7,7,1,1_11,401628.4766636012,3714211.2401791145,297.0,263.0,280.0,50.0,13.974570200658498,591.9462387849072,Red River,0.47317184066466783,1.109704641350211
8,8,1,1_12,401682.52059965936,3714159.2629351723,297.0,233.0,265.0,24.0,16.397388954046328,666.0939950673361,Red River,0.53244180138497,0.9831223628691983
9,9,1,1_13,401736.82691570814,3714107.6176079856,290.0,198.0,244.0,18.0,18.55552813494546,740.3162403025324,Red River,0.5917713048011807,0.8354430379746836
10,10,1,1_14,401793.4585420432,3714058.913660329,241.0,271.0,256.0,18.0,19.004917924462728,813.8939206435266,Red River,0.6505855756887693,1.1434599156118144
11,11,1,1_16,401916.32464679854,3713973.652790923,240.0,237.0,238.5,56.0,13.586806460235836,958.9021491074776,Red River,0.766497808723064,1.0
12,12,1,1_20,402168.5109512072,3713811.295390895,223.0,279.0,251.0,24.0,10.707652465128255,1251.0174695801766,Red River,1.0,1.1772151898734178
13,13,2,2_1,405635.9423230674,3713799.8120374,294.0,220.0,257.0,22.0,17.915023951199945,0.0,Red River,0.0,1.0
14,14,2,2_4,405820.8640614936,3713927.828997388,266.0,167.0,216.5,26.0,16.522906690789412,224.90974053417386,Red River,0.23183034942967853,0.759090909090909
15,15,2,2_7,406000.6128621692,3714063.0313701765,292.0,249.0,270.5,20.0,16.768150950827632,449.7432814796857,Red River,0.4635821545632143,1.1318181818181818
16,16,2,2_8,406060.5657097686,3714108.046244271,274.0,242.0,258.0,30.0,16.86515523177527,524.7031034967183,Red River,0.5408485356906901,1.1
17,17,2,2_10,406182.99940938456,3714194.546304735,260.0,163.0,211.5,22.0,14.303716764434087,674.6010654440564,Red River,0.695358948687978,0.740909090909091
18,18,2,2_12,406307.622594809,3714277.7489895737,321.0,210.0,265.5,46.0,17.020535224635793,824.3652817167548,Red River,0.8497315005752365,0.9545454545454546
19,19,2,2_13,406372.7385733822,3714313.216238197,314.0,230.0,272.0,30.0,15.368824651425982,898.0270529744222,Red River,0.9256598891355324,1.0454545454545454
20,20,2,2_14,406441.9062277858,3714339.820600594,414.0,220.0,317.0,22.0,22.027387612826196,970.1479598657814,Red River,1.0,1.0
21,21,3,3_1,407851.1113293865,3714295.651009167,450.0,273.0,361.5,76.0,18.06085635984005,0.0,Red River,0.0,1.089820359281437
22,22,3,3_2,407920.5643142206,3714269.485706076,316.0,183.0,249.5,16.0,13.568373145559926,74.21819310801811,Red River,0.03976222324537479,0.7305389221556886
23,23,3,3_4,408048.16554787784,3714193.3953344687,345.0,245.0,295.0,20.0,14.7431521405059,222.00582882723032,Red River,0.11893910317589133,0.9780439121756487
24,24,3,3_5,408104.70761531714,3714145.778044475,335.0,268.0,301.5,82.0,14.323131011821392,294.57254078322563,Red River,0.15781654925946312,1.0698602794411178
25,25,3,3_6,408153.5055782641,3714090.356104373,326.0,247.0,286.5,18.0,14.755701731727248,365.497304625751,Red River,0.19581432548432393,0.9860279441117764
26,26,3,3_8,408225.4719760043,3713963.243832205,298.0,295.0,296.5,114.0,14.478918679333232,500.64001541232074,Red River,0.26821671647840184,1.1776447105788423
27,27,3,3_9,408238.94071675756,3713892.216125255,274.0,294.0,284.0,110.0,13.973560777874935,559.6171363224961,Red River,0.2998135709664493,1.1736526946107784
28,28,3,3_10,408241.38090289244,3713817.67844314,257.0,235.0,246.0,78.0,14.03292392883952,617.0641084029686,Red River,0.3305906518003909,0.93812375249501
29,29,3,3_12,408242.19007063814,3713667.72687536,304.0,234.0,269.0,30.0,4.0753244766233525,739.7508362118979,Red River,0.3963197790681922,0.9341317365269461
30,30,3,3_17,408220.6208661265,3713295.0329904323,219.0,198.0,208.5,52.0,12.496335770529337,1066.6647632496586,Red River,0.5714631503165187,0.7904191616766467
31,31,3,3_23,408085.8473827304,3712868.177348335,362.0,266.0,314.0,42.0,6.86104150790139,1446.645107519244,Red River,0.7750367303915819,1.06187624750499
32,32,3,3_30,407804.7656111322,3712429.676085909,230.0,254.0,242.0,36.0,18.558786856875997,1866.550385022832,Red River,1.0,1.0139720558882235
33,33,4,4_0,407325.56243517407,3711782.37806286,316.0,236.0,276.0,56.0,20.289310715412558,0.0,Red River,0.0,1.517684887459807
34,34,4,4_8,407616.1584198831,3711291.204385467,204.0,128.0,166.0,52.0,20.984210636105466,570.6992269952813,Red River,0.28645354326208744,0.8231511254019293
35,35,4,4_10,407737.92069959367,3711204.5417430173,164.0,89.0,126.5,54.0,1.9494466180648045,709.883195155839,Red River,0.3563147572938334,0.572347266881029
36,36,4,4_13,407931.4573052657,3711090.70695804,243.0,142.0,192.5,50.0,19.641245016235004,919.5202612483604,Red River,0.4615388009594255,0.9131832797427653
37,37,4,4_19,408357.2314516919,3710954.3661122494,388.0,184.0,286.0,30.0,5.6587730078534495,1322.8547728291737,Red River,0.6639862452472075,1.1832797427652733
38,38,4,4_22,408579.34146275866,3710956.849740168,207.0,169.0,188.0,36.0,16.314873499867257,1501.1525110986152,Red River,0.7534800038979793,1.0868167202572347
39,39,4,4_27,408899.3919238468,3711127.497153842,146.0,126.0,136.0,42.0,16.10605971132905,1704.6431487007405,Red River,0.8556189439990357,0.8102893890675241
40,40,4,4_29,409009.0495884304,3711229.72491495,229.0,69.0,149.0,16.0,17.89047647217216,1771.8788042849196,Red River,0.8893668288122679,0.4437299035369775
41,41,4,4_33,409193.7086416841,3711464.1920213136,164.0,100.0,132.0,22.0,17.672729305621377,1895.0494995996341,Red River,0.9511904312108861,0.6430868167202572
42,42,4,4_35,409263.0171191483,3711595.92846014,196.0,172.0,184.0,24.0,16.86433695826182,1946.4054322797642,Red River,0.9769677376936827,1.1061093247588425
43,43,4,4_36,409290.504678416,3711665.630854237,177.0,195.0,186.0,26.0,16.222910725807377,1968.4074603592549,Red River,0.9880113112683393,1.2540192926045015
44,44,4,4_37,409317.30648459814,3711735.636378935,178.0,187.0,182.5,26.0,14.739310051745367,1992.2924342155072,Red River,1.0,1.202572347266881
45,45,5,5_0,412109.14260870795,3712500.717913805,255.0,267.0,261.0,20.0,15.26997875601183,0.0,Red River,0.0,1.1171548117154813
46,46,5,5_5,412469.39802681655,3712442.3639235855,259.0,261.0,260.0,80.0,12.004044410274734,364.9508932050239,Red River,0.18378291977452374,1.0920502092050208
47,47,5,5_7,412617.9858499353,3712460.785124872,299.0,212.0,255.5,100.0,12.422357041062849,510.40775050421144,Red River,0.2570324622017375,0.8870292887029289
48,48,5,5_11,412897.4781862108,3712551.6138867317,0.0,239.0,119.5,46.0,7.960013436893207,789.9768242277083,Red River,0.39781858330515624,1.0
49,49,5,5_12,412953.6437219985,3712598.94350821,306.0,254.0,280.0,66.0,12.240217157626898,850.1943294007608,Red River,0.4281430711425482,1.0627615062761506
50,50,5,5_13,413001.63861756993,3712655.39702828,290.0,218.0,254.0,72.0,13.831419515912463,905.8006150855251,Red River,0.45614542907956834,0.9121338912133892
51,51,5,5_16,413102.4576600961,3712854.101902229,246.0,170.0,208.0,30.0,5.747460573114338,1054.3031037555338,Red River,0.5309286984719931,0.7112970711297071
52,52,5,5_23,413152.4631655346,3713354.0583317582,207.0,81.0,144.0,28.0,16.76510135175436,1347.8529790780747,Red River,0.6787553079986507,0.3389121338912134
53,53,5,5_25,413118.37387665076,3713499.980921646,154.0,107.0,130.5,28.0,13.01546874222333,1420.237413615431,Red River,0.7152068497627361,0.4476987447698745
54,54,5,5_30,413051.54690769385,3713868.723063548,248.0,215.0,231.5,36.0,8.216525112047124,1661.1935325152886,Red River,0.8365481586715905,0.899581589958159
55,55,5,5_31,413032.5149506904,3713940.703386445,405.0,220.0,312.5,40.0,7.041720212609441,1710.6065133023558,Red River,0.8614316760239044,0.9205020920502092
56,56,5,5_32,413006.4688673145,3714010.515419869,265.0,251.0,258.0,24.0,12.918064260166993,1756.3265424466115,Red River,0.8844554871852246,1.0502092050209204
57,57,5,5_33,412975.9632065312,3714078.9488661964,330.0,268.0,299.0,32.0,11.608623817569615,1800.608477125695,Red River,0.9067550989963259,1.1213389121338913
58,58,5,5_36,412879.9863703742,3714282.083633349,384.0,276.0,330.0,30.0,10.885517370375275,1940.9956032061225,Red River,0.9774516129936781,1.1548117154811715
59,59,5,5_37,412841.8571818646,3714346.3663086714,337.0,257.0,297.0,30.0,10.053979190716056,1985.77154858987,Red River,1.0,1.0753138075313808
60,60,6,6_6,414081.5770558672,3716394.2977495305,329.0,183.0,256.0,34.0,7.782335375367911,0.0,Red River,0.0,0.9656992084432717
61,61,6,6_12,414522.6430174785,3716340.090643577,184.0,189.0,186.5,28.0,14.400895555439387,444.384510112598,Red River,0.34048539368159714,0.9973614775725593
62,62,6,6_13,414593.5366803637,3716316.468984816,185.0,193.0,189.0,22.0,15.202272883128607,517.841649282455,Red River,0.39676792014192613,1.0184696569920844
63,63,6,6_14,414662.3914410488,3716287.6853440464,184.0,181.0,182.5,24.0,13.68597113732519,590.5180395525865,Red River,0.45245224034069537,0.9551451187335093
64,64,6,6_16,414796.2016637162,3716220.245830403,211.0,199.0,205.0,44.0,14.841495168065386,735.5150581023071,Red River,0.5635482975166087,1.050131926121372
65,65,6,6_20,415044.03882644325,3716054.493935768,72.0,190.0,131.0,28.0,6.8066177107636685,1020.6856968077745,Red River,0.7820447459222054,1.0026385224274406
66,66,6,6_21,415101.74852952047,3716006.6226758733,228.0,202.0,215.0,30.0,10.381786486762913,1091.348614509143,Red River,0.8361863525820427,1.0659630606860158
67,67,6,6_24,415272.4961463392,3715860.323750795,191.0,155.0,173.0,30.0,7.723828545890512,1305.1499957386175,Red River,1.0,0.8179419525065963
68,68,7,7_0,417681.03588275076,3717513.009879998,332.0,256.0,294.0,32.0,14.926256689635574,0.0,Red River,0.0,1.0578512396694215
69,69,7,7_1,417749.91623389226,3717540.640515423,319.0,247.0,283.0,40.0,14.586111007903988,74.21559665841819,Red River,0.06801393644979943,1.0206611570247934
70,70,7,7_2,417821.58134841936,3717561.212312224,304.0,242.0,273.0,34.0,12.443637917474215,148.58163544832811,Red River,0.1361657436711261,1.0
71,71,7,7_6,418115.39479143213,3717612.1754260263,262.0,156.0,209.0,98.0,15.487238153214689,445.5350346156701,Red River,0.4083048967453418,0.6446280991735537
72,72,7,7_7,418190.06070076436,3717610.2970249862,245.0,209.0,227.0,96.0,14.46886070354264,518.2384141818818,Red River,0.4749329811392585,0.8636363636363636
73,73,7,7_8,418264.0045882283,3717601.7909844937,236.0,185.0,210.5,70.0,14.158045729524135,589.6902543553239,Red River,0.5404141082282837,0.7644628099173554
74,74,7,7_9,418336.97962383396,3717586.406429485,245.0,185.0,215.0,54.0,14.359056308619268,660.0373057205397,Red River,0.6048827657128538,0.7644628099173554
75,75,7,7_10,418409.3929004872,3717567.0332803386,250.0,266.0,258.0,32.0,14.048203827200243,730.357770596204,Red River,0.6693270583483598,1.0991735537190082
76,76,7,7_15,418771.3444388046,3717469.3539358587,261.0,267.0,264.0,44.0,12.041381376750465,1091.1821978308249,Red River,1.0,1.103305785123967
77,77,8,8_2,419502.6363362879,3717457.25242336,399.0,244.0,321.5,18.0,2.208982746045686,0.0,Red River,0.0,1.3824362606232294
78,78,8,8_9,419888.3185495804,3717788.384476442,221.0,169.0,195.0,100.0,5.538736146522101,508.3298203218386,Red River,0.44891630382339803,0.9575070821529745
79,79,8,8_10,419929.8933687621,3717850.6039267583,360.0,155.0,257.5,76.0,11.671115821568232,580.7529397466262,Red River,0.5128746194361865,0.8781869688385269
